 # i        kappa            theta           
 0          15.37080148      0.0004820240983 
 1          19.38090072      0.003337650737  
 2          10.71632299      0.007405977877  
 3          16.33336969      0.008649816195  
 4          7.724496308      0.009589117717  
 5          10.63228951      0.01148909325   
 6          12.10264602      0.01489668131   
 7          15.71232386      0.01761064013   
 8          13.50008135      0.02216080169   
 9          16.07398057      0.02708153646   
 10         24.46599187      0.03469643244   
 11         16.69172093      0.03806548333   
 12         17.39870841      0.04321017924   
 13         17.60978125      0.0496869107    
 14         17.14982416      0.05539517404   
 15         16.800973        0.06006142879   
 16         15.17854195      0.06382854283   
 17         13.05441372      0.06678151154   
 18         16.94603166      0.07087945719   
 19         15.87051026      0.07490782349   
 20         21.59822807      0.08043816251   
 21         16.87514897      0.08783240049   
 22         13.77189902      0.09882122876   
 23         13.70079157      0.1028792048    
 24         17.16309731      0.1050392994    
 25         12.74192741      0.1078080319    
 26         14.62732706      0.1120227341    
 27         13.18602755      0.1140934422    
 28         11.19966082      0.11638237      
 29         12.32475141      0.117276734     
 30         15.64724992      0.1215263703    
 31         16.66479626      0.1267937033    
 32         12.88298252      0.1284554458    
 33         12.32977644      0.1302159019    
 34         10.90601305      0.1328981177    
 35         13.23782131      0.135363948     
 36         17.15808429      0.1399976365    
 37         17.71549623      0.1441728056    
 38         18.97937827      0.1474702174    
 39         14.01087485      0.1546748785    
 40         11.21656674      0.1570881289    
 41         6.384113364      0.1587658605    
 42         11.65047211      0.1605240432    
 43         18.15634377      0.1646972817    
 44         2.862728028      0.1670127792    
 45         8.248588527      0.1681608553    
 46         16.24778471      0.17518001      
 47         10.5102415       0.1768124103    
 48         17.73594515      0.1775156642    
 49         14.74769871      0.1833036073    
 50         18.64179266      0.1869601327    
 51         16.34746235      0.1916996544    
 52         15.2772561       0.1935191336    
 53         17.50130588      0.2017290542    
 54         22.67608958      0.2056943377    
 55         13.89270656      0.2103589589    
 56         22.24692841      0.2193980538    
 57         21.97740677      0.2255382583    
 58         15.90937405      0.2317539429    
 59         9.170068096      0.2371198075    
 60         13.1495703       0.2384694405    
 61         13.65972002      0.2407998347    
 62         10.8462291       0.2419304899    
 63         19.49925002      0.2544995783    
 64         13.69750916      0.2573754794    
 65         14.1233572       0.2592758109    
 66         16.53647287      0.2637689284    
 67         16.7906074       0.265725981     
 68         11.42049155      0.2681684939    
 69         17.81881473      0.2741776489    
 70         18.1651561       0.281653566     
 71         15.27968846      0.2844659413    
 72         19.9460447       0.2878409831    
 73         15.33186721      0.2919061496    
 74         9.38211618       0.2934457275    
 75         17.35579967      0.3055114014    
 76         13.65059891      0.3149897695    
 77         17.24840041      0.3164684268    
 78         15.11964843      0.3191843816    
 79         17.33201544      0.3226725718    
 80         15.46463611      0.3246673387    
 81         18.50596335      0.3273684527    
 82         17.63995689      0.3362996088    
 83         11.91432207      0.3392529617    
 84         15.42036303      0.3419074622    
 85         9.485608245      0.3441819256    
 86         18.48508662      0.3475813953    
 87         14.73859662      0.3499251667    
 88         9.87105996       0.3529796265    
 89         19.56173673      0.3584568483    
 90         15.26211636      0.3611186184    
 91         16.59273092      0.363769309     
 92         17.74096665      0.3676426543    
 93         23.67641384      0.3760084086    
 94         18.09175557      0.3919175609    
 95         17.42077723      0.3970887321    
 96         13.44008804      0.4022783462    
