 # i        j         
 0          10        
 0          9         
 0          2         
 0          1         
 1          2         
 2          3         
 2          5         
 3          4         
 3          5         
 4          5         
 5          6         
 5          9         
 6          7         
 7          8         
 8          9         
 9          10        
