 # i        kappa            theta           
 0          1917.578304      0.267268013     
 1          1769.522308      0.7985318422    
 2          2075.601116      1.4161445       
 3          1757.747529      2.100898014     
 4          1813.317044      2.615960229     
 5          2140.396107      3.227047079     
 6          2083.315931      3.896134838     
 7          1824.347209      4.48538524      
 8          1903.651844      5.017895489     
 9          2188.064022      5.720622461     
 10         532.2402125      6.204796099     
