 # i        kappa            theta           
 225        5.87782          0.479334        
 226        6.43378          0.480361        
 227        11.1629          0.482907        
 228        10.7956          0.490256        
 229        10.6705          0.493312        
 230        6.37499          0.495035        
 231        14.3186          0.496311        
 232        11.8883          0.501143        
 233        8.00907          0.501161        
 234        6.28483          0.502352        
 235        7.19773          0.505532        
 236        10.7201          0.509959        
 237        6.78767          0.510692        
 238        7.6519           0.516787        
 239        9.0765           0.521158        
 240        1.89047          0.521209        
 241        6.99286          0.523294        
 242        6.52384          0.526361        
 243        9.98135          0.527479        
 244        10.316           0.52854         
 245        8.32558          0.535062        
 246        12.1384          0.5351          
 247        6.26383          0.537719        
 248        9.64608          0.538945        
 249        9.94489          0.539898        
 250        10.3907          0.544431        
 251        8.69667          0.545515        
 252        1.52205          0.545566        
 253        7.49497          0.550241        
 254        7.42955          0.552411        
 255        7.69003          0.558921        
 256        7.65036          0.561803        
 257        7.37552          0.565012        
 258        11.7014          0.568101        
 259        10.6487          0.574652        
 260        6.09909          0.576831        
 261        9.51021          0.57766         
 262        6.14051          0.578823        
 263        6.32063          0.580476        
 264        9.90474          0.582355        
 265        6.07727          0.58429         
 266        7.4246           0.585538        
 267        3.43027          0.585642        
 268        1.16379          0.585675        
 269        6.12055          0.58893         
 270        4.09095          0.590015        
 271        7.45392          0.590033        
 272        6.67833          0.592212        
 273        6.16506          0.596109        
 274        6.17743          0.596588        
 275        6.30536          0.600009        
 276        9.9136           0.600937        
 277        5.58012          0.604791        
 278        12.7311          0.605305        
 279        7.96224          0.607511        
 280        1.52457          0.607562        
 281        9.59681          0.609084        
 282        7.651            0.611902        
 283        3.59279          0.612007        
 284        1.14011          0.61204         
 285        9.9802           0.615456        
 286        6.55035          0.616971        
 287        5.89212          0.620776        
 288        5.65496          0.621334        
 289        5.33502          0.622478        
 290        12.6317          0.622966        
 291        6.43045          0.626493        
 292        6.4857           0.627324        
 293        6.70029          0.633549        
 294        9.0693           0.636014        
 295        12.4818          0.636772        
 296        5.56439          0.638193        
 297        5.76939          0.638895        
 298        8.38051          0.642177        
 299        4.96919          0.642551        
 300        8.7558           0.643367        
 301        8.73548          0.64571         
 302        5.04755          0.646549        
 303        5.14124          0.646891        
 304        5.61607          0.648415        
 305        5.69373          0.649061        
 306        6.27432          0.650256        
 307        6.1546           0.654596        
 308        4.46485          0.655304        
 309        4.65028          0.655361        
 310        6.80293          0.660225        
 311        10.7743          0.662454        
 312        4.8399           0.666825        
 313        4.88024          0.666894        
 314        6.44365          0.668018        
 315        13.046           0.673111        
 316        5.49424          0.673404        
 317        9.29202          0.679968        
 318        5.25361          0.681243        
 319        7.06079          0.682161        
 320        6.87279          0.682452        
 321        4.51146          0.682859        
 322        7.00184          0.684353        
 323        3.99302          0.684456        
 324        4.82972          0.686626        
 325        10.8602          0.687006        
 326        11.828           0.687942        
 327        5.97032          0.691391        
 328        3.81248          0.693561        
 329        10.7348          0.693599        
 330        7.47123          0.696097        
 331        1.42888          0.696148        
 332        4.38587          0.698309        
 333        10.9296          0.698445        
 334        5.77996          0.700633        
 335        4.80723          0.702803        
 336        11.4429          0.70313         
 337        4.10837          0.705261        
 338        10.3681          0.705354        
 339        11.9596          0.707577        
 340        5.34031          0.708538        
 341        5.67116          0.709394        
 342        8.0675           0.711944        
 343        1.50176          0.711995        
 344        9.79162          0.715143        
 345        6.28977          0.71634         
 346        6.53529          0.72068         
 347        10.0064          0.722157        
 348        6.29581          0.725056        
 349        5.89804          0.726445        
 350        9.46309          0.727235        
 351        10.2533          0.729428        
 352        6.80513          0.733487        
 353        8.4706           0.735956        
 354        1.54283          0.736007        
 355        1.35552          0.738164        
 356        7.273            0.738216        
 357        1.3998           0.738267        
 358        6.78367          0.742625        
 359        6.77081          0.745117        
 360        9.92111          0.748384        
 361        8.37529          0.750842        
 362        11.7689          0.751364        
 363        5.39463          0.752516        
 364        9.0518           0.75357         
 365        9.67941          0.755762        
 366        9.87495          0.758834        
 367        6.00516          0.761929        
 368        5.61675          0.763197        
 369        6.4814           0.764461        
 370        1.39644          0.764512        
 371        11.0387          0.764884        
 372        5.64266          0.766673        
 373        12.7921          0.767952        
 374        6.03941          0.77165         
 375        11.8387          0.773201        
 376        5.02468          0.773431        
 377        9.14675          0.7776          
 378        8.97807          0.778457        
 379        7.66613          0.779792        
 380        1.418            0.779843        
 381        6.10775          0.780965        
 382        7.45898          0.786367        
 383        1.62394          0.786418        
 384        12.5043          0.787057        
 385        6.33364          0.788537        
 386        8.91397          0.792929        
 387        1.66426          0.79298         
 388        6.61359          0.799161        
 389        12.8909          0.801024        
 390        5.59187          0.801715        
 391        5.63041          0.803227        
 392        9.16265          0.803894        
 393        8.28292          0.806086        
 394        4.85263          0.806189        
 395        7.08765          0.813665        
 396        8.08337          0.817085        
 397        4.61474          0.817119        
 398        8.41395          0.82147         
 399        4.87222          0.821711        
 400        5.3408           0.822808        
 401        4.78383          0.823649        
 402        4.87244          0.823887        
 403        7.5038           0.825828        
 404        7.56475          0.825979        
 405        8.92931          0.828171        
 406        8.88488          0.829318        
 407        5.79105          0.83035         
 408        13.5357          0.832539        
 409        6.56339          0.834727        
 410        9.45597          0.841291        
 411        9.39025          0.841752        
 412        12.1216          0.845689        
 413        1.55698          0.845758        
 414        9.22391          0.847924        
 415        5.7362           0.848376        
 416        9.30418          0.852038        
 417        5.61892          0.852318        
 418        10.782           0.856667        
 419        6.89002          0.858846        
 420        7.13216          0.861584        
 421        8.32878          0.867554        
 422        1.472            0.867605        
 423        12.8555          0.869218        
 424        5.66036          0.869766        
 425        4.65733          0.873991        
 426        7.85039          0.87416         
 427        7.28269          0.874919        
