 # i        j         
 0          41        
 0          40        
 0          2         
 0          1         
 1          40        
 1          3         
 1          39        
 1          2         
 2          3         
 2          39        
 2          38        
 2          9         
 2          37        
 2          40        
 2          4         
 3          7         
 3          4         
 3          5         
 4          5         
 4          7         
 4          6         
 4          8         
 5          6         
 5          8         
 5          7         
 6          7         
 7          9         
 7          8         
 8          9         
 9          11        
 9          10        
 10         11        
 11         13        
 11         22        
 11         14        
 11         12        
 12         13        
 13         14        
 14         16        
 14         21        
 14         15        
 15         16        
 15         21        
 15         19        
 16         18        
 16         17        
 16         22        
 17         18        
 17         19        
 18         19        
 18         20        
 18         21        
 19         21        
 19         20        
 20         21        
 21         24        
 21         22        
 21         25        
 22         23        
 22         37        
 22         25        
 23         24        
 23         25        
 24         25        
 24         26        
 25         29        
 25         26        
 26         27        
 26         28        
 27         28        
 28         29        
 28         32        
 28         34        
 29         30        
 29         31        
 30         31        
 30         32        
 31         32        
 31         33        
 32         33        
 32         34        
 32         36        
 33         34        
 33         35        
 34         35        
 34         37        
 35         36        
 36         37        
 36         38        
 37         38        
 38         39        
 38         40        
 39         40        
 40         41        
