 # i        kappa            theta           
 0          34.61230048      0.002078933174  
 1          26.94357373      0.00815791616   
 2          18.28378821      0.01069070383   
 3          27.70368302      0.01643111483   
 4          29.45492989      0.02483727294   
 5          40.99533618      0.03606116157   
 6          34.86669132      0.04646885001   
 7          33.81328979      0.05770446466   
 8          28.1190671       0.06519338876   
 9          32.68372175      0.07282740326   
 10         38.31924532      0.08367924085   
 11         27.36141285      0.1008450544    
 12         29.78581837      0.1062178646    
 13         27.70091563      0.1130041481    
 14         23.42928436      0.11685107      
 15         32.18126006      0.1242436267    
 16         25.11067015      0.1293162642    
 17         24.04670119      0.1342508376    
 18         34.73235103      0.1421188753    
 19         32.85882899      0.1505271192    
 20         17.53333004      0.1576954006    
 21         29.69028166      0.1630687753    
 22         11.07429638      0.1678664352    
 23         26.65327905      0.1758202098    
 24         32.3528761       0.180141989     
 25         34.84797242      0.189173677     
 26         32.64623518      0.1979045038    
 27         36.42692219      0.207463358     
 28         44.04520909      0.2224494601    
 29         24.9832347       0.2337119688    
 30         26.70072761      0.2396569572    
 31         30.22990219      0.2500174709    
 32         27.7081969       0.2583402851    
 33         33.19209443      0.264754971     
 34         29.12501209      0.2718343912    
 35         33.31010712      0.2829377437    
 36         35.13679372      0.2896062079    
 37         26.63669455      0.3012879315    
 38         30.77507424      0.3158156911    
 39         32.32066095      0.321048105     
 40         33.83380105      0.3261395333    
 41         29.43784317      0.3374885806    
 42         24.80927718      0.342772183     
 43         33.0903523       0.3486203723    
 44         29.32311261      0.3566248887    
 45         31.72598212      0.3624996649    
 46         41.25212256      0.3724285891    
 47         35.36872628      0.3944540564    
 48         29.13961033      0.4031702       
 49         27.96651381      0.4167575743    
 50         27.14516917      0.4299957021    
 51         25.53322607      0.4340891483    
 52         35.55744649      0.4455251836    
 53         30.17304263      0.4559657722    
 54         31.8796772       0.4634818824    
 55         33.84132921      0.4717358246    
 56         32.98459781      0.4805797994    
 57         41.82802633      0.493809429     
 58         33.1160961       0.5023199509    
 59         33.9623932       0.5145989568    
 60         25.20126955      0.5255761608    
 61         36.75052621      0.5337056008    
 62         38.36611313      0.5421407974    
 63         23.95860255      0.5533846163    
 64         37.07818938      0.5680726739    
 65         27.8467392       0.5783678508    
 66         26.6298895       0.5840918939    
 67         18.6935089       0.5894034169    
 68         25.12150663      0.5961688674    
 69         35.90351823      0.604513937     
 70         22.20778566      0.61041378      
 71         23.39611881      0.6170424548    
 72         29.82161832      0.6233268261    
 73         34.46379386      0.6341929612    
 74         24.48699198      0.6405880343    
 75         27.46198448      0.6453396006    
 76         23.54696094      0.6506595214    
 77         26.48719406      0.6594608367    
 78         28.99004549      0.6699148939    
 79         26.88588131      0.6794573157    
 80         22.2020805       0.6834861813    
 81         33.2305719       0.6880624411    
 82         23.28497206      0.6945428806    
 83         25.70448558      0.6997167607    
 84         37.58712742      0.7053742054    
 85         20.42910597      0.7103617959    
 86         32.36374311      0.7186347359    
 87         31.65761783      0.7273656085    
 88         18.05470128      0.7351982921    
 89         22.06343567      0.7416685229    
 90         35.1808192       0.7505813648    
 91         34.3350305       0.7571333183    
 92         24.35995014      0.7643657304    
