 # i        kappa            theta           
 0          478.4697159      0.06164592073   
 1          456.5609115      0.1865751604    
 2          498.9017566      0.323203879     
 3          499.2675516      0.4809718203    
 4          431.9906102      0.6212555897    
 5          436.4871331      0.7318699393    
 6          471.1955799      0.8532006079    
 7          444.2654261      0.9781058451    
 8          433.5900222      1.103378232     
 9          506.4290583      1.256497387     
 10         598.286951       1.474693316     
 11         554.1270506      1.742670597     
 12         437.8953644      1.911722684     
 13         420.2247046      2.030337776     
 14         472.1665094      2.155910523     
 15         441.7782399      2.296564635     
 16         444.733482       2.417168049     
 17         425.4921625      2.54315581      
 18         474.4351109      2.673563354     
 19         483.4218488      2.80616837      
 20         511.3274185      2.953175028     
 21         529.6114783      3.110834095     
 22         549.1988104      3.314574386     
 23         567.6939712      3.497141376     
 24         545.1198034      3.662558128     
 25         536.5556985      3.825924681     
 26         521.2059534      3.981952643     
 27         497.4071238      4.137976999     
 28         500.2456523      4.295205627     
 29         440.0101382      4.423059084     
 30         453.049367       4.554650152     
 31         445.8971157      4.689945758     
 32         468.2950129      4.822109599     
 33         479.2849236      4.944694645     
 34         471.2226384      5.075322252     
 35         500.3611453      5.217049933     
 36         578.1969656      5.393906438     
 37         599.7849786      5.631847782     
 38         545.7192021      5.868255536     
 39         482.1538354      6.056053415     
 40         440.0023845      6.192255744     
 41         93.68445565      6.264230698     
