 # i        kappa            theta           
 0          243.7207052      0.02731135846   
 1          236.6946342      0.09688199355   
 2          199.3136137      0.151260742     
 3          259.0811069      0.2136737112    
 4          245.2066742      0.2884157177    
 5          255.723455       0.3565323442    
 6          238.3243471      0.4414833471    
 7          262.9701452      0.5167221278    
 8          214.2829696      0.5920984032    
 9          219.464355       0.6497126126    
 10         223.7467965      0.7043573527    
 11         214.5149477      0.7605671885    
 12         232.118534       0.8197168254    
 13         240.992898       0.8854369328    
 14         231.222428       0.9484241579    
 15         214.8480456      1.010057582     
 16         224.8306578      1.070320612     
 17         210.5213805      1.138690035     
 18         244.1938014      1.217217166     
 19         264.2925529      1.292767118     
 20         282.0195141      1.390479617     
 21         318.6940592      1.549138607     
 22         295.9268117      1.690100971     
 23         260.4471943      1.802435176     
 24         238.8292628      1.884037349     
 25         200.8373326      1.944675726     
 26         214.7727088      2.004881228     
 27         207.1606363      2.056733344     
 28         246.6412065      2.122307896     
 29         227.443304       2.192363369     
 30         227.6832519      2.26542855      
 31         215.8907674      2.329409044     
 32         204.7392357      2.384471885     
 33         241.7939019      2.444824412     
 34         201.3134249      2.514801025     
 35         225.9050341      2.568405229     
 36         244.1095712      2.641890312     
 37         232.2541883      2.706860523     
 38         239.1131442      2.772199219     
 39         246.2744598      2.839141697     
 40         258.425264       2.917436523     
 41         254.9816442      2.989396458     
 42         258.0505689      3.066418893     
 43         273.7134691      3.152689744     
 44         308.6517568      3.271177013     
 45         242.7573881      3.369824862     
 46         303.4213136      3.453151598     
 47         266.5744372      3.547245809     
 48         282.4356633      3.619337042     
 49         264.8994759      3.708654516     
 50         255.0726728      3.788329098     
 51         283.6607166      3.859708282     
 52         275.4409576      3.947799221     
 53         247.8804528      4.019924951     
 54         237.2910287      4.097661541     
 55         262.1353981      4.174448094     
 56         233.2506726      4.255444176     
 57         269.0219593      4.329649368     
 58         225.9618648      4.395995985     
 59         215.8371019      4.451398299     
 60         219.8634514      4.518737423     
 61         235.0269688      4.588231154     
 62         219.4119692      4.6599276       
 63         228.2980811      4.718787699     
 64         238.8171762      4.78928392      
 65         231.3820363      4.855995018     
 66         235.8398819      4.911441015     
 67         245.3937247      4.976644907     
 68         241.6290371      5.042572674     
 69         231.5094163      5.109510649     
 70         234.2439713      5.179791808     
 71         268.1453898      5.249570357     
 72         291.21351        5.334263673     
 73         289.3349525      5.45393481      
 74         306.8094428      5.570041801     
 75         295.4142136      5.696047931     
 76         264.8808736      5.823508863     
 77         283.0559811      5.910110828     
 78         262.4238091      6.021931518     
 79         221.6808255      6.096485314     
 80         219.4499367      6.160634193     
 81         222.3418724      6.223462665     
 82         93.68445565      6.264230698     
