 # i        j         
 0          82        
 0          80        
 0          4         
 0          1         
 0          81        
 0          3         
 1          82        
 1          3         
 1          2         
 1          81        
 2          3         
 2          80        
 2          81        
 3          6         
 3          78        
 3          79        
 3          4         
 3          80        
 3          81        
 4          5         
 4          6         
 4          78        
 4          76        
 4          19        
 4          74        
 5          6         
 5          80        
 5          7         
 5          8         
 6          7         
 6          14        
 7          8         
 7          10        
 8          9         
 8          10        
 9          10        
 9          11        
 9          14        
 9          13        
 9          16        
 10         12        
 10         16        
 10         11        
 10         13        
 11         12        
 11         14        
 12         13        
 13         14        
 13         15        
 14         15        
 14         18        
 14         16        
 15         16        
 15         17        
 15         18        
 16         17        
 17         18        
 18         19        
 19         22        
 19         20        
 20         21        
 21         22        
 22         27        
 22         45        
 22         23        
 23         28        
 23         24        
 23         25        
 24         26        
 24         25        
 25         27        
 25         26        
 26         27        
 26         28        
 27         28        
 28         29        
 28         33        
 28         43        
 28         30        
 28         42        
 29         30        
 30         32        
 30         31        
 31         32        
 31         42        
 31         38        
 32         33        
 32         37        
 32         34        
 32         35        
 33         45        
 33         34        
 34         36        
 34         37        
 34         35        
 34         39        
 34         38        
 35         37        
 35         36        
 36         37        
 36         39        
 36         38        
 37         38        
 37         40        
 37         42        
 38         39        
 38         42        
 38         40        
 39         41        
 39         40        
 39         42        
 40         41        
 40         42        
 41         42        
 41         43        
 42         43        
 42         48        
 42         44        
 43         44        
 43         45        
 43         50        
 43         48        
 44         45        
 44         47        
 44         46        
 45         46        
 45         74        
 45         50        
 45         47        
 46         47        
 46         48        
 46         49        
 47         48        
 47         50        
 47         49        
 48         49        
 48         50        
 48         51        
 48         52        
 48         53        
 49         53        
 49         50        
 49         51        
 50         58        
 50         51        
 50         52        
 51         52        
 51         53        
 52         53        
 52         54        
 52         55        
 53         54        
 53         55        
 53         57        
 54         56        
 54         55        
 54         57        
 55         56        
 55         57        
 56         57        
 56         58        
 56         59        
 57         58        
 57         64        
 57         59        
 57         69        
 58         61        
 58         59        
 58         60        
 59         60        
 59         61        
 59         63        
 60         61        
 60         63        
 60         62        
 61         62        
 61         64        
 61         63        
 62         63        
 62         65        
 62         64        
 63         66        
 63         65        
 63         64        
 64         65        
 64         66        
 64         69        
 64         67        
 65         72        
 65         66        
 65         67        
 65         69        
 65         68        
 66         67        
 66         68        
 66         70        
 67         68        
 67         69        
 68         70        
 68         69        
 69         70        
 69         71        
 69         74        
 70         71        
 70         72        
 71         72        
 72         73        
 72         74        
 73         74        
 73         76        
 74         75        
 75         76        
 75         77        
 76         77        
 76         79        
 77         79        
 77         80        
 77         78        
 77         81        
 78         81        
 78         79        
 78         80        
 79         80        
 79         81        
 80         81        
 81         82        
