 # i        kappa            theta           
 0          106.688978       0.008770914564  
 1          138.0110946      0.04156447369   
 2          125.4677962      0.08048386255   
 3          112.1872834      0.1152140542    
 4          115.8134423      0.1401185979    
 5          84.29609615      0.1665896336    
 6          135.1732351      0.1940135897    
 7          124.960368       0.2349384885    
 8          122.3406128      0.2698997849    
 9          123.863284       0.3066958227    
 10         120.1967117      0.3384402701    
 11         136.5636906      0.3724396592    
 12         108.8976913      0.4204531044    
 13         130.3902232      0.4590239736    
 14         140.7483049      0.497696358     
 15         123.2879314      0.5384542891    
 16         109.3751738      0.5781489642    
 17         105.7791031      0.6065228729    
 18         115.2999898      0.6353834842    
 19         105.0555189      0.6654455221    
 20         103.5858642      0.6914029184    
 21         121.0668958      0.7154299873    
 22         108.7721482      0.7483183099    
 23         106.6151637      0.7730641571    
 24         113.7051381      0.8038262127    
 25         119.3570134      0.8348489628    
 26         107.7756355      0.8671081866    
 27         134.1888673      0.9001373067    
 28         120.131228       0.9352017198    
 29         112.0307442      0.962607281     
 30         105.7584501      0.9949440761    
 31         109.9631366      1.024588595     
 32         111.724755       1.051413894     
 33         114.0202156      1.088842573     
 34         98.16735948      1.118946462     
 35         113.2070529      1.155794651     
 36         113.7725223      1.192913324     
 37         131.4106701      1.238238744     
 38         132.8910066      1.270815909     
 39         132.4764166      1.314785223     
 40         131.4727993      1.359343297     
 41         151.6894278      1.417440151     
 42         171.5220301      1.512306314     
 43         148.4632533      1.591721338     
 44         157.2553167      1.662148438     
 45         139.8720264      1.721545882     
 46         139.9264136      1.779480161     
 47         121.5762186      1.828874674     
 48         127.2283639      1.868488549     
 49         112.5695718      1.901622677     
 50         93.46144162      1.928813338     
 51         108.1895214      1.958366313     
 52         113.5950733      1.991247339     
 53         102.0492902      2.020066587     
 54         113.9081157      2.043383134     
 55         94.08946888      2.072913113     
 56         112.9090811      2.100146436     
 57         134.7295403      2.140859774     
 58         109.4220576      2.171905928     
 59         118.9450836      2.211172699     
 60         114.9926561      2.251791752     
 61         113.6165543      2.279231001     
 62         101.2320723      2.312004592     
 63         115.5339373      2.344646518     
 64         110.9552879      2.374215179     
 65         94.61278778      2.396511199     
 66         114.9826103      2.424961399     
 67         127.7926707      2.46268441      
 68         116.0299538      2.502737257     
 69         86.08909887      2.531088509     
 70         112.0237813      2.551494473     
 71         114.7999037      2.584904033     
 72         128.4750202      2.622235149     
 73         116.6256517      2.663553822     
 74         103.3663386      2.689698414     
 75         129.8235634      2.720506314     
 76         129.3437418      2.756851845     
 77         110.7376197      2.790141028     
 78         119.2978259      2.817553126     
 79         127.9773295      2.859256923     
 80         117.5549989      2.89704126      
 81         141.9145303      2.934311588     
 82         122.8382756      2.968633581     
 83         133.1791432      3.008537307     
 84         125.5116595      3.04201435      
 85         133.5876542      3.089338605     
 86         137.0478176      3.128837514     
 87         137.7788327      3.176413624     
 88         163.4584431      3.241759451     
 89         146.445842       3.304031431     
 90         133.7652149      3.352197376     
 91         109.9726118      3.391290075     
 92         175.5455116      3.433438129     
 93         129.088865       3.480007087     
 94         139.377518       3.528180511     
 95         128.2797163      3.567969935     
 96         149.6787324      3.601820232     
 97         133.9030049      3.638929845     
 98         132.5667031      3.682271547     
 99         133.4101055      3.734868621     
 100        134.6408568      3.774235195     
 101        121.4671946      3.803960665     
 102        142.4631876      3.836544629     
 103        142.3511709      3.88288945      
 104        145.3037947      3.927897454     
 105        131.2552729      3.969843625     
 106        119.9513059      3.997301568     
 107        128.936316       4.040962184     
 108        112.2831812      4.08058395      
 109        125.970588       4.112872894     
 110        129.4706254      4.153414881     
 111        133.7306688      4.19480681      
 112        115.5932957      4.237224777     
 113        118.6058882      4.273197669     
 114        148.6839337      4.313079361     
 115        121.4240164      4.349963083     
 116        112.6441318      4.380695827     
 117        114.2366822      4.411081292     
 118        111.0157995      4.434497783     
 119        105.698723       4.469153705     
 120        108.9561423      4.500034865     
 121        111.8013811      4.536960812     
 122        116.2093364      4.567547615     
 123        119.7733236      4.608295135     
 124        107.1398777      4.646094243     
 125        113.1639502      4.673020123     
 126        113.4359408      4.703218738     
 127        115.7905525      4.734037925     
 128        119.6059656      4.770372682     
 129        120.1824709      4.808103472     
 130        114.8970195      4.841038417     
 131        117.4259615      4.870627367     
 132        118.2783537      4.89497994      
 133        118.5206833      4.927867911     
 134        117.6517733      4.95751019      
 135        128.7384929      4.994122126     
 136        132.285788       5.024547682     
 137        110.3200844      5.06420923      
 138        130.2219237      5.095474962     
 139        102.2190773      5.127416592     
 140        126.4298576      5.164880712     
 141        108.7628671      5.197140056     
 142        132.4340479      5.229592188     
 143        136.8016749      5.268906567     
 144        134.5942541      5.305551367     
 145        157.7981863      5.358730237     
 146        127.4641936      5.426309307     
 147        163.0346192      5.475501199     
 148        143.5379622      5.536167909     
 149        164.515058       5.599571753     
 150        147.7253595      5.665226618     
 151        148.890284       5.726625711     
 152        141.0289056      5.801932508     
 153        124.9263599      5.847883164     
 154        129.4505375      5.878335203     
 155        154.7499849      5.936662879     
 156        133.4316622      5.99290738      
 157        130.0592919      6.05171187      
 158        112.9617066      6.081449205     
 159        109.6205424      6.111982225     
 160        128.7376753      6.14645484      
 161        91.58622284      6.180605009     
 162        111.9007968      6.209034666     
 163        111.3453312      6.237962866     
 164        93.68445565      6.264230698     
