 # i        kappa            theta           
 0          61.30935124      0.004743297245  
 1          45.80689809      0.01415389644   
 2          70.17047648      0.03137677212   
 3          68.40183986      0.05200177339   
 4          60.55751287      0.06929924968   
 5          65.42000533      0.09082424375   
 6          57.2541055       0.1094875303    
 7          55.38935027      0.1211327618    
 8          48.95832669      0.1317299702    
 9          67.31755391      0.1462061352    
 10         47.04161481      0.1610777452    
 11         37.59419967      0.1734942598    
 12         66.92892289      0.1848268129    
 13         68.79398342      0.2029473991    
 14         68.76448375      0.2265173589    
 15         56.70067407      0.2451605502    
 16         60.65506469      0.2618382468    
 17         62.18304884      0.2777607133    
 18         61.52671581      0.2946390213    
 19         62.84027664      0.318496425     
 20         63.01625861      0.331417775     
 21         57.66859248      0.3461169959    
 22         60.80209251      0.3596786421    
 23         76.31182202      0.3825916665    
 24         56.87488615      0.4098238383    
 25         52.46516581      0.4319794559    
 26         65.46554255      0.4503155198    
 27         65.45497488      0.4677328683    
 28         74.51266843      0.487981359     
 29         66.80681883      0.5085375875    
 30         61.70721149      0.530403086     
 31         62.08212598      0.5464558827    
 32         64.66581268      0.5724842259    
 33         45.14391273      0.5862799687    
 34         60.78345929      0.6010829463    
 35         45.41927644      0.6138150426    
 36         64.02600785      0.6291546663    
 37         51.73905683      0.6431006982    
 38         49.83199846      0.655320388     
 39         55.64983352      0.6745054735    
 40         55.21460049      0.6862321724    
 41         48.79137621      0.6972583651    
 42         57.79634481      0.7071264123    
 43         63.76206492      0.7229518176    
 44         39.95681505      0.7387586033    
 45         69.23430555      0.7538172904    
 46         60.15521563      0.7677786299    
 47         46.88869516      0.7798547988    
 48         59.45638428      0.7954454783    
 49         54.7106091       0.8129377988    
 50         53.03034254      0.8266360196    
 51         66.80741853      0.8413590263    
 52         61.66533197      0.8606886885    
 53         46.54238012      0.8756272384    
 54         63.07932189      0.8877015079    
 55         71.65368059      0.911075937     
 56         70.58334588      0.9305107522    
 57         50.0260842       0.9418335482    
 58         54.95806496      0.9527071335    
 59         57.52813295      0.9720620339    
 60         53.00124784      0.9884628123    
 61         53.18731864      1.001402285     
 62         47.56112901      1.017025165     
 63         62.84297599      1.030303183     
 64         52.69020807      1.041915463     
 65         59.4877153       1.059820531     
 66         59.92613222      1.081245051     
 67         54.55705937      1.097192037     
 68         49.04111615      1.11439736      
 69         49.52548088      1.123450705     
 70         64.14923853      1.145164903     
 71         49.51265904      1.169586856     
 72         53.93741216      1.178321984     
 73         60.29677744      1.205956293     
 74         71.06076729      1.230087477     
 75         60.88203242      1.247761072     
 76         63.1840266       1.26153357      
 77         70.24634351      1.279159485     
 78         71.08394883      1.305493637     
 79         61.92938961      1.325458502     
 80         62.28383238      1.34350173      
 81         69.72242888      1.373484427     
 82         80.05658566      1.40279334      
 83         72.24858048      1.433678634     
 84         83.29473786      1.47520412      
 85         88.92432669      1.547041409     
 86         83.51860763      1.573722554     
 87         65.5420425       1.614687772     
 88         86.16603209      1.649747392     
 89         71.72494342      1.677061693     
 90         64.29009617      1.713015103     
 91         76.14783474      1.728740877     
 92         58.58798276      1.760358199     
 93         81.8960676       1.793132205     
 94         56.3727005       1.818501877     
 95         65.69586693      1.837767129     
 96         64.67972607      1.858425854     
 97         63.06601285      1.878809929     
 98         60.91883413      1.895720389     
 99         52.10653031      1.908529382     
 100        46.74617495      1.921479348     
 101        47.09536854      1.936092469     
 102        51.78743003      1.950804835     
 103        56.84140311      1.965251546     
 104        46.9880081       1.981308068     
 105        67.0585979       1.998197045     
 106        60.19421302      2.015250326     
 107        42.2608177       2.02694082      
 108        58.10873716      2.036476286     
 109        56.26255263      2.050517833     
 110        47.98956297      2.067051114     
 111        46.48249497      2.078966207     
 112        58.33651051      2.094582528     
 113        55.03148563      2.106046427     
 114        68.58255857      2.129481019     
 115        66.69484632      2.152562143     
 116        55.53359905      2.165715414     
 117        54.33343717      2.17823389      
 118        58.96239421      2.200107206     
 119        60.46638074      2.221961045     
 120        55.54613972      2.24182093      
 121        59.91370244      2.261031372     
 122        55.19874441      2.271838733     
 123        58.87953616      2.286158386     
 124        67.43074204      2.305321836     
 125        34.18040322      2.325240793     
 126        59.40822689      2.337377778     
 127        56.59538361      2.352278558     
 128        54.7173549       2.368657443     
 129        56.68908299      2.379578416     
 130        47.20834425      2.391060049     
 131        47.78922127      2.40189563      
 132        56.08313349      2.414046391     
 133        59.3668336       2.435268954     
 134        63.42459472      2.451765809     
 135        64.88775695      2.473355097     
 136        58.63242299      2.489243802     
 137        57.86940746      2.516409243     
 138        42.16042685      2.526934562     
 139        44.27864168      2.535042558     
 140        64.70793095      2.546072545     
 141        47.76390275      2.558852844     
 142        66.34792977      2.57651127      
 143        48.91106439      2.596309036     
 144        59.88064946      2.610344954     
 145        69.1149275       2.632527768     
 146        65.78843307      2.656821978     
 147        51.30624432      2.672198363     
 148        45.34143383      2.68272339      
 149        58.44041159      2.695101883     
 150        65.15739554      2.712309743     
 151        65.19415752      2.72869809      
 152        58.11308729      2.744201365     
 153        71.75246633      2.767084638     
 154        47.32122011      2.782759448     
 155        63.85949545      2.795601211     
 156        60.1935112       2.809157627     
 157        59.58948749      2.82603408      
 158        62.50684798      2.846980038     
 159        65.99068438      2.870881677     
 160        54.51984065      2.884724547     
 161        63.51123283      2.907604527     
 162        63.79935887      2.925424807     
 163        78.68774505      2.941507904     
