 # i        kappa            theta           
 0          54.00204608      0.04360029786   
 1          47.47104664      0.1284594186    
 2          56.35993529      0.2114598573    
 3          60.52848823      0.2942357951    
 4          52.39372541      0.3765332852    
 5          56.6643748       0.4640023046    
 6          61.92417768      0.569939909     
 7          65.34365896      0.7049747349    
 8          62.25722152      0.8202645235    
 9          43.96505088      0.9116646127    
 10         59.5751843       0.9998335156    
 11         54.7583755       1.083028454     
 12         52.96470261      1.158691462     
 13         56.46854057      1.233842749     
 14         48.07444807      1.305279348     
 15         74.58829898      1.452605133     
 16         58.90952493      1.595495909     
 17         68.39097882      1.695625482     
 18         62.32624808      1.78231301      
 19         53.37316492      1.859706767     
 20         60.88696428      1.944752948     
 21         70.14541542      2.094579459     
 22         73.7931762       2.471685558     
 23         63.16061438      2.729185143     
 24         50.05866721      2.806907593     
 25         55.34740457      2.882342905     
 26         44.01628503      2.961113323     
 27         52.17801152      3.040123349     
 28         61.12989122      3.123062446     
 29         53.35096763      3.205920307     
 30         60.0311611       3.281772055     
 31         46.65509702      3.357495389     
 32         60.8602599       3.43488587      
 33         56.74475565      3.51359477      
 34         63.83147409      3.600323078     
 35         67.61215007      3.733082101     
 36         67.46428781      3.870009186     
 37         78.08220179      4.054165617     
 38         51.85018146      4.198291035     
 39         72.09171501      4.326109635     
 40         80.89582707      4.495637589     
 41         59.47358213      4.692178044     
 42         61.57225698      4.816511427     
 43         60.44756173      4.909291811     
 44         51.41422465      4.995125478     
 45         47.85002951      5.061491395     
 46         57.3437156       5.142576377     
 47         58.7252843       5.223899043     
 48         71.62097135      5.332205469     
 49         69.63396813      5.515146534     
 50         70.44257617      5.665943009     
 51         70.2195113       5.785876001     
 52         86.00133472      5.915232244     
 53         52.400231        6.21031002      
