 # i        j         
 0          107       
 0          106       
 0          2         
 0          1         
 1          4         
 1          102       
 1          107       
 1          6         
 1          14        
 1          3         
 1          2         
 2          3         
 2          4         
 3          4         
 3          14        
 3          107       
 4          5         
 4          7         
 4          13        
 4          8         
 4          106       
 4          9         
 4          6         
 5          7         
 5          6         
 6          7         
 6          8         
 6          9         
 7          8         
 7          10        
 7          106       
 7          11        
 7          9         
 8          9         
 8          10        
 9          10        
 9          11        
 9          13        
 10         11        
 10         14        
 10         12        
 11         13        
 11         14        
 11         12        
 12         14        
 12         13        
 13         14        
 13         19        
 13         15        
 14         18        
 14         15        
 14         16        
 14         25        
 15         18        
 15         16        
 15         17        
 16         18        
 16         17        
 17         18        
 18         19        
 19         20        
 19         25        
 20         21        
 20         24        
 20         22        
 20         23        
 21         22        
 21         23        
 22         23        
 23         24        
 24         25        
 25         27        
 25         28        
 25         30        
 25         26        
 25         31        
 26         27        
 26         28        
 27         28        
 28         29        
 28         30        
 29         30        
 30         31        
 31         32        
 31         34        
 31         33        
 32         33        
 33         34        
 33         35        
 34         36        
 34         37        
 34         35        
 34         39        
 34         41        
 35         36        
 35         37        
 36         37        
 36         41        
 37         39        
 37         38        
 37         41        
 38         39        
 38         40        
 39         40        
 39         42        
 39         41        
 40         41        
 41         42        
 41         47        
 42         43        
 42         44        
 43         44        
 43         106       
 44         74        
 44         45        
 45         46        
 45         48        
 46         47        
 46         48        
 46         50        
 47         56        
 47         53        
 47         51        
 47         48        
 47         50        
 47         49        
 48         49        
 48         50        
 49         50        
 50         52        
 50         51        
 51         52        
 51         55        
 51         74        
 51         53        
 52         55        
 52         56        
 52         68        
 52         54        
 52         53        
 53         57        
 53         59        
 53         56        
 53         54        
 54         55        
 54         57        
 54         56        
 55         56        
 55         57        
 55         58        
 55         59        
 56         57        
 56         59        
 56         68        
 56         66        
 56         64        
 57         58        
 57         60        
 57         64        
 57         62        
 57         59        
 58         65        
 58         60        
 58         59        
 58         64        
 58         62        
 58         61        
 59         60        
 59         68        
 59         69        
 59         61        
 59         64        
 60         63        
 60         65        
 60         64        
 60         62        
 60         61        
 60         67        
 61         62        
 61         64        
 61         63        
 62         63        
 62         64        
 63         64        
 63         65        
 64         65        
 64         68        
 64         66        
 65         66        
 65         68        
 65         67        
 65         69        
 66         69        
 66         67        
 66         68        
 67         68        
 68         69        
 68         70        
 68         72        
 69         70        
 69         71        
 69         72        
 70         71        
 70         72        
 71         72        
 71         74        
 72         73        
 72         74        
 73         74        
 73         75        
 74         75        
 74         78        
 74         80        
 75         78        
 75         76        
 75         79        
 75         77        
 76         77        
 76         78        
 77         78        
 78         79        
 78         80        
 78         82        
 79         80        
 79         82        
 79         81        
 80         81        
 81         82        
 81         98        
 81         97        
 82         83        
 83         84        
 83         85        
 84         85        
 85         90        
 85         86        
 86         87        
 86         92        
 86         90        
 86         88        
 87         89        
 87         88        
 88         90        
 88         89        
 88         92        
 88         91        
 89         94        
 89         90        
 89         91        
 90         92        
 90         91        
 91         94        
 91         92        
 91         93        
 92         94        
 92         93        
 92         95        
 93         96        
 93         94        
 94         95        
 94         96        
 94         97        
 95         97        
 95         96        
 96         98        
 96         97        
 97         98        
 97         99        
 98         100       
 98         99        
 98         102       
 99         103       
 99         106       
 99         100       
 99         101       
 100        101       
 100        102       
 101        103       
 101        102       
 102        103       
 103        105       
 103        106       
 103        104       
 104        105       
 105        107       
 105        106       
 106        107       
