 # i        kappa            theta           
 0          91.27912511      0.08478251787   
 1          105.1185072      0.2552028686    
 2          98.07897049      0.4227007278    
 3          114.4470823      0.6402461056    
 4          95.77264867      0.8569167972    
 5          102.825585       1.039511922     
 6          98.41181819      1.197794444     
 7          110.7677221      1.39796255      
 8          114.5264926      1.65009804      
 9          104.093672       1.817550019     
 10         117.8779672      2.026162976     
 11         123.2164745      2.589213063     
 12         94.80304652      2.846904676     
 13         86.55459738      3.004619802     
 14         102.9845611      3.161217508     
 15         96.06933757      3.314077237     
 16         105.7624909      3.472654381     
 17         118.2033354      3.669065851     
 18         130.9389055      3.970207262     
 19         111.7188078      4.274567241     
 20         126.4873946      4.576434311     
 21         109.7214147      4.862436679     
 22         89.26911977      5.026921299     
 23         104.3709161      5.183838173     
 24         127.0191217      5.422296031     
 25         126.4837813      5.72585404      
 26         125.119688       6.021095945     
