 # i        j         
 0          53        
 0          1         
 0          2         
 0          51        
 0          3         
 0          7         
 1          2         
 1          7         
 1          53        
 2          3         
 2          6         
 2          4         
 2          53        
 3          4         
 3          5         
 3          53        
 4          5         
 4          6         
 5          7         
 5          6         
 6          7         
 6          9         
 7          9         
 7          8         
 7          12        
 8          9         
 9          10        
 9          12        
 10         12        
 10         11        
 11         12        
 12         13        
 12         14        
 12         15        
 13         14        
 14         15        
 15         16        
 15         17        
 16         17        
 17         18        
 17         19        
 17         20        
 18         20        
 18         19        
 19         20        
 19         21        
 20         21        
 20         23        
 21         22        
 21         53        
 22         37        
 22         23        
 22         24        
 23         24        
 23         25        
 23         28        
 23         26        
 24         25        
 25         26        
 25         27        
 25         37        
 26         27        
 26         28        
 26         34        
 26         29        
 27         28        
 27         29        
 28         29        
 28         34        
 28         33        
 28         32        
 28         30        
 28         31        
 29         32        
 29         30        
 29         31        
 29         34        
 30         31        
 30         32        
 30         33        
 31         32        
 32         34        
 32         33        
 33         34        
 34         35        
 34         36        
 35         36        
 35         37        
 36         37        
 37         39        
 37         40        
 37         38        
 38         39        
 39         40        
 39         41        
 40         41        
 40         49        
 40         48        
 41         42        
 42         45        
 42         43        
 43         46        
 43         45        
 43         44        
 44         45        
 44         46        
 44         47        
 45         46        
 45         47        
 46         47        
 46         48        
 47         48        
 48         49        
 49         50        
 49         51        
 49         53        
 50         51        
 51         52        
 51         53        
 52         53        
