 # i        kappa            theta           
 0          3.36235263       0.001786803029  
 1          6.962187026      0.008763415571  
 2          3.36175814       0.01286906768   
 3          6.215806257      0.01556985414   
 4          1.791248233      0.0167349036    
 5          10.9187704       0.02617705729   
 6          3.747243139      0.02982936648   
 7          3.404526488      0.0345149129    
 8          7.834694589      0.03797329708   
 9          5.150485509      0.04312440978   
 10         4.632027499      0.06031129862   
 11         4.965761551      0.07059401513   
 12         3.271096045      0.07698263798   
 13         9.005708018      0.07970971579   
 14         2.639404032      0.08160179718   
 15         3.753896017      0.08749490842   
 16         4.33449342       0.09025251141   
 17         1.265385352      0.09386680647   
 18         5.862478177      0.09740170097   
 19         3.515243491      0.1031301382    
 20         3.942992846      0.1072917612    
 21         2.303782569      0.1080620925    
 22         6.128152238      0.1120703518    
 23         5.540006045      0.115163934     
 24         3.373632865      0.1253448945    
 25         7.263966211      0.1310435126    
 26         3.087388472      0.1344472669    
 27         6.401488209      0.1458730634    
 28         3.205108408      0.1547855595    
 29         4.938405617      0.1567592214    
 30         3.301916868      0.1615493873    
 31         7.158330203      0.1643743564    
 32         4.155032876      0.1682023126    
 33         10.05164622      0.1784030439    
 34         5.88164477       0.1838617319    
 35         4.6531962        0.1880576931    
 36         4.470756438      0.1931902385    
 37         9.9942907        0.1998023735    
 38         7.020389656      0.2114655753    
 39         3.948827768      0.2179824262    
 40         3.846355563      0.222104835     
 41         5.684613259      0.2284366363    
 42         4.45592309       0.2342920742    
 43         6.686170278      0.2410798837    
 44         4.45424672       0.2460482756    
 45         1.217489304      0.2499559805    
 46         5.233189482      0.2534975084    
 47         3.122999226      0.2570976377    
 48         6.201325199      0.2598125718    
 49         4.954375206      0.2643377368    
 50         3.176132314      0.2654923896    
 51         2.263897152      0.2710714988    
 52         9.676416106      0.2737962408    
 53         4.61500998       0.2785777643    
 54         6.153484413      0.2829720069    
 55         4.158042754      0.2871265777    
 56         6.796425808      0.2947272226    
 57         2.037136891      0.295676004     
 58         4.36890483       0.296460411     
 59         8.750034543      0.3027851807    
 60         5.476201777      0.3101726565    
 61         2.669669049      0.3163938711    
 62         7.335556674      0.3185224906    
 63         12.13132506      0.3258024103    
 64         3.518808198      0.3312347638    
 65         2.612621229      0.3336371788    
 66         4.674268757      0.3375834433    
 67         4.906750989      0.3503905035    
 68         5.016065097      0.3562279429    
 69         6.320147227      0.3606802771    
 70         6.289150334      0.3674267305    
 71         4.494232284      0.3701993949    
 72         4.433806952      0.3735720235    
 73         3.296963156      0.3755471103    
 74         4.617513926      0.3855508785    
 75         4.151491539      0.3904594745    
 76         9.240595034      0.3972107987    
 77         3.65903673       0.407534221     
 78         9.983327093      0.4108140107    
 79         1.695655242      0.4118715251    
 80         5.216545506      0.4163420663    
 81         4.248523965      0.418489979     
 82         12.75329404      0.435101788     
 83         3.454006424      0.4404444852    
 84         2.940049492      0.4503962605    
 85         2.508686054      0.4513330774    
 86         4.552378612      0.4557240698    
 87         2.77714228       0.4580600071    
 88         9.229086171      0.4594550023    
 89         5.988447619      0.4649912091    
 90         5.821883564      0.4796881721    
 91         6.428801654      0.4939935846    
 92         3.463727465      0.499628359     
 93         7.111891149      0.5022873726    
 94         4.561249686      0.5084581335    
 95         3.998893669      0.514050915     
 96         3.190545738      0.5190626728    
 97         11.69463202      0.5286820494    
 98         1.924449977      0.53147224      
 99         5.803654624      0.5425150232    
 100        6.039985673      0.5459248556    
 101        3.741132735      0.5511798666    
 102        7.694347675      0.5549131586    
 103        4.223287662      0.5588540554    
 104        4.263054966      0.5650482131    
 105        7.654465175      0.5697299082    
 106        5.462858533      0.5730671552    
 107        3.971515042      0.5983173052    
 108        10.26877741      0.5996668646    
 109        1.839177528      0.6026127096    
 110        1.799332699      0.6178715197    
 111        12.51983309      0.6197526355    
 112        2.551571393      0.625202707     
 113        8.664296093      0.6320746071    
 114        3.991379836      0.6415621242    
 115        8.434765635      0.6585534581    
 116        2.500783449      0.6655346459    
 117        12.2615151       0.6686755785    
 118        6.324444499      0.6925167944    
 119        13.26538172      0.7118851758    
