 # i        kappa            theta           
 0          176.6807336      0.1809684059    
 1          191.2067106      0.5433510135    
 2          178.6004908      0.9528366542    
 3          188.1542696      1.305551282     
 4          196.6244118      1.729471982     
 5          216.8024353      2.318157249     
 6          163.1078551      2.921719512     
 7          179.0093926      3.234675109     
 8          201.4469801      3.577543408     
 9          218.3225089      4.108668196     
 10         212.4965545      4.707845753     
 11         174.217604       5.112708696     
 12         227.9506295      5.574070616     
 13         125.119688       6.021095945     
