 # i        kappa            theta           
 0          29.64344279      0.01957174197   
 1          30.4111336       0.06468833048   
 2          24.28163301      0.1048098827    
 3          28.48046528      0.1474593748    
 4          36.92742645      0.1924573018    
 5          25.56242127      0.2402147568    
 6          30.3978863       0.2730482283    
 7          36.85936073      0.3109135189    
 8          27.66631618      0.3540117929    
 9          30.58728034      0.3963342263    
 10         28.82288474      0.4370737938    
 11         34.1524851       0.4858316789    
 12         32.96303292      0.5413892306    
 13         35.89132856      0.5955387606    
 14         43.29259358      0.6717274971    
 15         29.12377553      0.757497151     
 16         32.99536085      0.7966676611    
 17         36.22699292      0.8412920324    
 18         24.32786891      0.8915525617    
 19         24.56538813      0.931468547     
 20         33.36171252      0.9772614807    
 21         32.89131512      1.022693085     
 22         32.47835857      1.06423292      
 23         28.39339098      1.104982857     
 24         28.13321407      1.140630741     
 25         30.75803321      1.174902827     
 26         30.06531424      1.212773757     
 27         32.72294525      1.252850033     
 28         30.48189586      1.291615591     
 29         22.8833465       1.324406425     
 30         36.57084651      1.379293091     
 31         46.27544808      1.507681614     
 32         33.46866866      1.575282662     
 33         32.04156996      1.616726679     
 34         41.73847648      1.675919975     
 35         34.25202929      1.720453835     
 36         28.95557478      1.756637958     
 37         40.19143456      1.799706222     
 38         29.71406825      1.844027148     
 39         29.64201223      1.875407413     
 40         28.86524561      1.91025125      
 41         38.71660506      1.969077343     
 42         38.65853364      2.059514239     
 43         39.34935531      2.128816084     
 44         54.15088402      2.385116016     
 45         27.08717581      2.665891133     
 46         31.27399847      2.705072491     
 47         38.89171236      2.747798158     
 48         23.85088356      2.787488289     
 49         31.71811232      2.820760869     
 50         32.36149797      2.862789348     
 51         29.17519653      2.904413909     
 52         28.37972262      2.949228744     
 53         20.45381758      2.978594736     
 54         29.87179492      3.022254207     
 55         28.15054576      3.059268801     
 56         27.8744968       3.096442652     
 57         39.91356825      3.140460936     
 58         29.83452719      3.18746355      
 59         29.49670158      3.224607367     
 60         40.1457997       3.26756858      
 61         26.35441962      3.305097072     
 62         24.8399342       3.340142974     
 63         27.03659605      3.373181282     
 64         32.68106995      3.408582944     
 65         34.99423005      3.459115615     
 66         26.55565766      3.493099775     
 67         36.40996865      3.527700147     
 68         36.63190262      3.571746794     
 69         34.34817903      3.63111057      
 70         35.88871861      3.703588362     
 71         39.28856904      3.759549799     
 72         38.95857976      3.830446402     
 73         36.05803835      3.913273475     
 74         38.81597343      3.985815712     
 75         47.93211424      4.107297741     
 76         29.589291        4.180321293     
 77         28.06946702      4.217400158     
 78         43.19234116      4.290136682     
 79         36.93633171      4.369312399     
 80         39.41374854      4.431988602     
 81         50.42775315      4.543107965     
 82         34.10392002      4.651874317     
 83         32.03053413      4.735510775     
 84         32.87477633      4.78898234      
 85         35.58974351      4.841553021     
 86         30.96359201      4.885130296     
 87         36.22261822      4.929350761     
 88         28.50123472      4.978730783     
 89         28.67627534      5.011392418     
 90         27.73240808      5.042487222     
 91         25.47273439      5.0824872       
 92         34.05306305      5.124614846     
 93         29.69163397      5.163679278     
 94         33.21250909      5.203455029     
 95         32.09391608      5.245171849     
 96         35.43938739      5.29472939      
 97         44.12409043      5.361101809     
 98         41.99456296      5.474974588     
 99         35.39410255      5.564236509     
 100        44.47851442      5.639657764     
 101        33.7262959       5.702352567     
 102        42.80664598      5.759726999     
 103        35.21730581      5.818772706     
 104        38.96183899      5.865237258     
 105        56.39043253      5.947498309     
 106        35.50547527      6.175596341     
 107        22.50325901      6.26971304      
