 # i        kappa            theta           
 0          9.387522661      0.006853774806  
 1          8.682132841      0.01469920417   
 2          12.00269341      0.02521167427   
 3          6.432228821      0.03205501999   
 4          11.72169948      0.03993765387   
 5          8.631304087      0.06570022845   
 6          11.26337643      0.07907808093   
 7          5.764742828      0.08516143495   
 8          5.177728854      0.0909389286    
 9          8.480648158      0.09943302274   
 10         5.652415223      0.1075587571    
 11         10.49445504      0.1135269916    
 12         9.683050562      0.1294077587    
 13         8.628031114      0.1424960974    
 14         7.352858629      0.1560195033    
 15         9.52352494       0.1635667184    
 16         12.97814414      0.1757560976    
 17         9.484636768      0.1856734041    
 18         13.18175242      0.1979625019    
 19         9.934211124      0.2136615788    
 20         8.599257897      0.2259921674    
 21         10.05550801      0.238488197     
 22         5.256884192      0.2467435672    
 23         7.557609742      0.2547662794    
 24         10.04259866      0.2617786961    
 25         4.904181729      0.2677340562    
 26         12.99901471      0.2752051832    
 27         9.303722394      0.2845781774    
 28         8.159778217      0.2949115164    
 29         11.91727861      0.3008542305    
 30         7.404625304      0.3120397766    
 31         17.60152906      0.3232164327    
 32         5.524327402      0.3322272863    
 33         8.615739607      0.3441812475    
 34         10.20578359      0.3587572623    
 35         9.720844646      0.3685419792    
 36         6.96517188       0.3743887719    
 37         7.887131297      0.3878525897    
 38         11.80054709      0.3998048901    
 39         11.01551316      0.4109300465    
 40         8.519085374      0.4172867273    
 41         15.02693986      0.4360437051    
 42         4.902300171      0.4508209529    
 43         6.625965285      0.4565607761    
 44         13.74011924      0.461532484     
 45         11.01829923      0.4872687246    
 46         9.613534561      0.5014912548    
 47         7.70031387       0.5110390592    
 48         13.79737413      0.5269779293    
 49         7.112745452      0.540160315     
 50         8.839472929      0.5478293944    
 51         10.79949113      0.5562139673    
 52         10.79558011      0.5681681568    
 53         8.502659484      0.5833668152    
 54         11.39849929      0.6000086394    
 55         13.5841726       0.6195798707    
 56         10.3670442       0.6307634258    
 57         11.30496108      0.6535932078    
 58         13.83180174      0.668259068     
 59         17.81844889      0.7061960442    
 60         12.18946396      0.7468482888    
 61         9.371684194      0.7550435424    
 62         5.373775675      0.7648449345    
 63         8.838467617      0.7715624006    
 64         9.277885357      0.7786341247    
 65         13.84234631      0.7920355376    
 66         10.11921066      0.8068323103    
 67         7.375255236      0.8151813427    
 68         10.37109993      0.8230215612    
 69         9.480459174      0.8345464126    
 70         12.2155887       0.8469461926    
 71         12.68096396      0.8550194298    
 72         6.671173551      0.8705691781    
 73         7.88377272       0.8819383284    
 74         4.328513844      0.8879188514    
 75         10.92789036      0.9109526619    
 76         4.750136687      0.9186221914    
 77         6.619270592      0.9240258545    
 78         9.323470894      0.9295287268    
 79         9.494372056      0.9438720611    
 80         15.59089194      0.9638677706    
