 # i        kappa            theta           
 0          2.98706          0               
 1          11.8367          0.0166795       
 2          0.764834         0.0544401       
 3          0.686646         0.0563255       
 4          0.667582         0.0591774       
 5          115.543          0.0626978       
 6          0.650509         0.0662182       
 7          0.758379         0.0733461       
 8          1.48964          0.0793549       
 9          4.15416          0.0806467       
 10         2.56405          0.101179        
 11         2.75312          0.106347        
 12         0.378919         0.106559        
 13         0.737751         0.124267        
 14         0.452815         0.129005        
 15         38.664           0.131553        
 16         0.467704         0.134102        
 17         0.804733         0.13884         
 18         2.07087          0.149134        
 19         0.462998         0.149346        
 20         7.90698          0.157725        
 21         7.83873          0.159713        
 22         2.91112          0.175358        
 23         5.1212           0.175387        
 24         8.60178          0.193916        
 25         3.60324          0.232976        
 26         2.18554          0.233805        
 27         12.0364          0.236954        
 28         8.45266          0.24037         
 29         5.73214          0.288487        
 30         17.9895          0.293072        
 31         0.56727          0.294536        
 32         13.8422          0.308368        
 33         4.00346          0.363966        
 34         19.715           0.40148         
 35         28.8186          0.409813        
 36         2.48613          0.424156        
 37         2.06026          0.431496        
 38         3.91817          0.432434        
 39         2.05962          0.432453        
 40         2.41021          0.442218        
 41         3.23258          0.445137        
 42         7.23326          0.456391        
 43         11.0938          0.465779        
 44         3.8987           0.488661        
 45         3.24487          0.495352        
 46         4.16747          0.498328        
 47         1.87833          0.509111        
 48         3.71781          0.512123        
 49         5.87425          0.512882        
 50         20.5665          0.530978        
 51         3.89454          0.53148         
 52         5.77792          0.552418        
 53         0.613487         0.553125        
 54         3.91313          0.558646        
 55         4.34239          0.565758        
 56         0.606777         0.566304        
 57         1.26274          0.573951        
 58         3.79833          0.577213        
 59         0.954288         0.580511        
 60         0.59259          0.582126        
 61         4.5569           0.582833        
 62         0.593999         0.583539        
 63         37.4643          0.615331        
 64         18.3522          0.617784        
 65         0.537057         0.632045        
 66         0.440441         0.64244         
 67         0.406115         0.643855        
 68         0.332905         0.646257        
 69         134.535          0.649901        
 70         5.65658          0.654843        
 71         0.422006         0.658283        
 72         0.592604         0.66302         
 73         0.565556         0.667757        
 74         8.0825           0.673238        
 75         11.4958          0.674723        
 76         7.51258          0.681502        
 77         2.07836          0.688368        
 78         7.0799           0.691988        
 79         1.22364          0.698621        
 80         0.357738         0.698706        
 81         1.27714          0.703471        
 82         0.364631         0.703555        
 83         1.86247          0.708321        
 84         1.53327          0.713233        
 85         11.5752          0.71386         
 86         3.03788          0.718401        
 87         0.495455         0.734675        
 88         13.2385          0.735703        
 89         0.608478         0.737321        
 90         4.6463           0.742233        
 91         1.3412           0.746462        
 92         1.61795          0.753488        
 93         1.59764          0.753862        
 94         2.00084          0.758775        
 95         7.11475          0.760453        
 96         3.26557          0.766436        
 97         5.71359          0.77342         
 98         4.71269          0.789568        
 99         4.25009          0.796872        
 100        3.22831          0.803523        
 101        12.5899          0.806297        
 102        0.712246         0.80784         
 103        1.37905          0.818427        
 104        0.917985         0.822084        
 105        1.94726          0.823557        
 106        12.9696          0.825777        
 107        1.982            0.828469        
 108        8.9695           0.836984        
 109        3.0664           0.840839        
 110        4.64604          0.847416        
 111        2.33151          0.889729        
 112        0.92703          0.89473         
 113        3.64245          0.898001        
 114        17.1649          0.900186        
 115        10.5686          0.908867        
 116        27.2316          0.91551         
 117        4.74441          0.916047        
 118        5.63516          0.922896        
 119        4.83457          0.925078        
 120        1.6838           0.941257        
 121        3.07023          0.945735        
 122        6.0536           0.951928        
 123        0.291393         0.972444        
 124        18.3194          0.97278         
 125        4.58607          0.985633        
 126        7.27372          0.988348        
 127        1.71157          0.999374        
 128        1.65845          1.00128         
 129        0.317851         1.00395         
 130        42.412           1.00516         
 131        8.65036          1.01231         
 132        7.76548          1.01383         
 133        14.4146          1.02278         
 134        6.65665          1.02347         
 135        3.39294          1.03149         
 136        1.55769          1.0458          
 137        1.53938          1.04618         
 138        12.8462          1.05455         
 139        1.808            1.0629          
 140        11.1315          1.06462         
 141        2.53393          1.07619         
 142        7.98708          1.08565         
 143        5.42694          1.09084         
 144        4.55666          1.09402         
 145        6.92551          1.09834         
 146        8.61074          1.10619         
 147        4.49547          1.10798         
 148        2.51759          1.11468         
 149        3.02824          1.12299         
 150        3.03532          1.12408         
 151        0.832962         1.13639         
 152        7.40328          1.13898         
 153        0.526562         1.14091         
 154        0.189619         1.14565         
 155        23.7432          1.1457          
 156        12.2416          1.15319         
 157        2.93914          1.16492         
 158        4.29414          1.17931         
 159        4.59739          1.19185         
 160        6.66831          1.19389         
 161        4.54044          1.19629         
 162        2.74194          1.19842         
 163        2.97996          1.2001          
 164        0.842476         1.20501         
 165        5.22085          1.20586         
 166        0.622153         1.2063          
 167        2.21988          1.21148         
 168        0.434881         1.21156         
 169        5.9798           1.23434         
 170        27.0866          1.27788         
 171        37.9861          1.28016         
 172        3.69407          1.29894         
 173        2.45172          1.93557         
 174        9.91661          1.94384         
 175        6.24163          1.9584          
 176        8.46791          1.97168         
 177        23.2312          1.97961         
 178        2.766            1.98878         
 179        0.404719         1.98899         
 180        2.189            1.99376         
 181        6.55234          2.00012         
 182        4.98589          2.00015         
 183        1.57341          2.00649         
 184        1.58153          2.00687         
 185        4.27958          2.01234         
 186        6.19466          2.01407         
 187        3.89817          2.03993         
 188        3.86378          2.04015         
 189        4.49561          2.04374         
 190        0.76845          2.04445         
 191        1.85704          2.04921         
 192        1.83765          2.04959         
 193        3.53681          2.05449         
 194        2.06231          2.05475         
 195        0.384457         2.05497         
 196        2.12403          2.05973         
 197        4.21911          2.06336         
 198        3.17362          2.06521         
