 # i        kappa            theta           
 0          124.311236       0.2224650746    
 1          137.440025       0.6629829918    
 2          64.81021749      1.276207011     
 3          85.1140074       2.19177038      
 4          187.1457621      2.869988083     
 5          54.17947254      3.249839445     
 6          134.9846033      3.602827012     
 7          122.5394156      4.305472057     
 8          83.24788001      4.480669843     
 9          101.3936247      4.989237712     
 10         85.67863608      5.204947351     
 11         84.33570388      5.806784222     
 12         50.5667874       6.136944501     
