 # i        j         
 0          99        
 0          37        
 0          44        
 0          3         
 0          97        
 0          1         
 0          49        
 0          61        
 0          48        
 0          46        
 0          72        
 0          80        
 0          64        
 0          19        
 0          21        
 0          94        
 0          93        
 0          50        
 0          84        
 0          88        
 0          14        
 0          67        
 0          16        
 0          4         
 0          5         
 0          11        
 0          55        
 0          2         
 0          98        
 0          43        
 0          8         
 0          69        
 0          58        
 0          52        
 0          7         
 0          81        
 0          42        
 0          54        
 0          91        
 0          82        
 0          6         
 0          47        
 0          87        
 1          48        
 1          80        
 1          64        
 1          87        
 1          3         
 1          2         
 1          4         
 1          82        
 1          97        
 1          81        
 1          6         
 2          37        
 2          3         
 2          4         
 3          8         
 3          97        
 3          4         
 3          6         
 3          48        
 3          52        
 3          5         
 4          37        
 4          97        
 4          6         
 4          49        
 4          80        
 4          14        
 4          8         
 4          7         
 4          79        
 4          88        
 4          95        
 4          76        
 4          5         
 4          48        
 4          19        
 4          16        
 4          98        
 4          9         
 4          10        
 4          73        
 4          72        
 5          7         
 5          8         
 5          37        
 5          6         
 5          11        
 5          9         
 5          14        
 6          8         
 6          48        
 6          16        
 6          17        
 6          7         
 6          19        
 6          79        
 6          14        
 6          13        
 7          8         
 7          12        
 7          9         
 7          48        
 7          19        
 7          21        
 7          14        
 7          11        
 7          79        
 7          13        
 7          98        
 7          16        
 7          91        
 7          88        
 7          10        
 8          19        
 8          15        
 8          96        
 8          13        
 8          16        
 8          14        
 8          49        
 8          61        
 8          48        
 8          37        
 8          72        
 8          80        
 8          64        
 8          95        
 8          21        
 8          11        
 8          17        
 8          79        
 8          10        
 8          12        
 8          18        
 8          9         
 8          98        
 8          69        
 8          63        
 8          87        
 8          52        
 8          88        
 8          99        
 8          76        
 9          11        
 9          12        
 9          10        
 10         12        
 10         11        
 11         14        
 11         13        
 11         12        
 11         19        
 12         18        
 12         21        
 12         14        
 12         16        
 12         13        
 13         16        
 13         15        
 13         17        
 13         14        
 13         96        
 14         19        
 14         21        
 14         16        
 14         15        
 14         17        
 14         37        
 14         95        
 14         25        
 14         76        
 15         16        
 15         21        
 15         19        
 15         18        
 15         17        
 16         80        
 16         19        
 16         20        
 16         21        
 16         17        
 16         95        
 16         96        
 16         48        
 16         82        
 17         19        
 17         21        
 17         18        
 17         37        
 18         19        
 18         21        
 19         20        
 19         21        
 19         37        
 19         27        
 20         21        
 21         48        
 21         37        
 21         49        
 21         44        
 21         64        
 21         61        
 21         43        
 21         52        
 21         22        
 21         27        
 21         35        
 21         25        
 21         32        
 22         27        
 22         25        
 22         23        
 22         35        
 22         37        
 22         32        
 22         24        
 23         25        
 23         27        
 23         24        
 23         28        
 24         27        
 24         28        
 24         29        
 24         25        
 25         27        
 25         29        
 25         31        
 25         28        
 25         30        
 25         37        
 25         35        
 25         26        
 25         32        
 26         27        
 26         29        
 26         35        
 26         32        
 27         49        
 27         37        
 27         44        
 27         34        
 27         29        
 27         31        
 27         32        
 27         30        
 27         41        
 27         64        
 27         28        
 27         52        
 27         33        
 27         35        
 27         83        
 28         29        
 28         30        
 28         31        
 29         49        
 29         61        
 29         48        
 29         37        
 29         44        
 29         64        
 29         35        
 29         36        
 29         31        
 29         50        
 29         30        
 29         43        
 29         56        
 29         97        
 29         58        
 29         52        
 30         31        
 30         40        
 30         41        
 30         42        
 30         39        
 31         37        
 31         32        
 31         33        
 32         37        
 32         34        
 32         33        
 32         35        
 33         37        
 33         83        
 33         34        
 34         37        
 34         44        
 34         35        
 34         39        
 35         49        
 35         61        
 35         37        
 35         64        
 35         39        
 35         36        
 35         43        
 35         52        
 35         41        
 36         61        
 36         64        
 36         37        
 36         49        
 36         48        
 36         43        
 36         67        
 37         64        
 37         49        
 37         61        
 37         48        
 37         44        
 37         72        
 37         80        
 37         69        
 37         79        
 37         93        
 37         84        
 37         73        
 37         95        
 37         43        
 37         67        
 37         41        
 37         58        
 37         98        
 37         53        
 37         52        
 37         56        
 37         63        
 37         42        
 37         97        
 37         68        
 37         46        
 37         39        
 37         70        
 37         66        
 37         65        
 37         81        
 37         60        
 37         88        
 37         74        
 37         47        
 37         45        
 37         50        
 37         38        
 37         55        
 37         51        
 37         87        
 37         59        
 37         76        
 38         39        
 39         49        
 39         61        
 39         48        
 39         46        
 39         56        
 39         41        
 39         40        
 39         52        
 40         41        
 40         42        
 40         43        
 41         42        
 41         49        
 41         44        
 41         48        
 41         43        
 42         49        
 42         48        
 42         52        
 42         43        
 42         80        
 42         79        
 42         58        
 42         63        
 42         45        
 43         95        
 43         61        
 43         48        
 43         97        
 43         56        
 43         58        
 43         50        
 43         45        
 43         53        
 43         64        
 43         52        
 43         80        
 43         49        
 43         46        
 43         44        
 43         74        
 43         51        
 43         72        
 44         46        
 44         49        
 44         61        
 44         48        
 44         72        
 44         64        
 44         58        
 44         53        
 44         51        
 44         45        
 44         52        
 44         97        
 44         80        
 44         47        
 44         94        
 44         95        
 45         46        
 45         49        
 45         61        
 45         48        
 45         52        
 45         58        
 45         60        
 46         49        
 46         48        
 46         72        
 46         58        
 46         60        
 46         87        
 46         47        
 46         52        
 46         59        
 46         67        
 46         61        
 46         54        
 46         53        
 46         82        
 46         65        
 47         61        
 47         48        
 47         64        
 47         49        
 47         52        
 47         50        
 48         52        
 48         50        
 48         81        
 48         49        
 48         61        
 48         56        
 48         79        
 48         73        
 48         95        
 48         67        
 48         72        
 48         55        
 48         64        
 48         58        
 48         53        
 48         63        
 48         51        
 48         97        
 48         80        
 48         87        
 48         76        
 48         54        
 48         82        
 48         65        
 49         53        
 49         52        
 49         56        
 49         79        
 49         50        
 49         55        
 49         95        
 49         67        
 49         72        
 49         63        
 49         54        
 49         64        
 49         58        
 49         61        
 49         69        
 49         51        
 49         97        
 49         80        
 49         68        
 49         74        
 50         52        
 50         58        
 50         61        
 50         54        
 50         56        
 50         53        
 50         51        
 51         52        
 51         53        
 51         82        
 51         61        
 51         58        
 52         61        
 52         58        
 52         81        
 52         82        
 52         97        
 52         79        
 52         67        
 52         95        
 52         54        
 52         70        
 52         53        
 52         72        
 52         55        
 52         80        
 52         64        
 52         73        
 52         57        
 52         60        
 52         98        
 52         69        
 52         59        
 52         56        
 52         63        
 52         68        
 53         61        
 53         59        
 53         55        
 53         54        
 53         56        
 53         58        
 54         55        
 55         67        
 55         61        
 55         59        
 56         61        
 56         79        
 56         73        
 56         74        
 56         58        
 56         80        
 56         68        
 56         76        
 56         75        
 57         58        
 57         72        
 57         59        
 57         61        
 58         64        
 58         79        
 58         72        
 58         61        
 58         87        
 58         59        
 58         60        
 58         67        
 58         97        
 58         74        
 58         73        
 58         75        
 58         66        
 58         70        
 58         98        
 59         61        
 59         72        
 59         60        
 60         61        
 60         72        
 60         67        
 60         82        
 60         65        
 60         69        
 61         67        
 61         72        
 61         80        
 61         64        
 61         79        
 61         95        
 61         97        
 61         69        
 61         68        
 61         70        
 61         71        
 61         63        
 61         87        
 61         81        
 61         62        
 61         73        
 61         66        
 61         65        
 61         76        
 61         82        
 61         88        
 61         74        
 62         73        
 63         64        
 63         79        
 63         69        
 63         98        
 63         72        
 63         80        
 63         67        
 64         72        
 64         80        
 64         69        
 64         79        
 64         84        
 64         73        
 64         95        
 64         68        
 64         70        
 64         74        
 64         65        
 64         91        
 64         97        
 64         87        
 64         75        
 64         88        
 65         72        
 65         80        
 65         70        
 65         71        
 65         67        
 65         66        
 66         67        
 66         70        
 66         71        
 66         76        
 66         68        
 67         68        
 67         72        
 67         80        
 67         76        
 67         69        
 67         70        
 67         79        
 67         75        
 67         73        
 67         82        
 67         97        
 67         71        
 67         88        
 67         74        
 68         79        
 68         80        
 68         81        
 68         76        
 68         70        
 68         69        
 69         74        
 69         80        
 69         79        
 69         88        
 69         95        
 69         82        
 69         87        
 69         72        
 69         70        
 69         71        
 69         97        
 70         72        
 70         88        
 70         73        
 70         80        
 70         74        
 70         79        
 70         76        
 70         71        
 71         72        
 71         80        
 71         74        
 71         73        
 71         82        
 71         95        
 72         74        
 72         79        
 72         84        
 72         73        
 72         95        
 72         98        
 72         76        
 72         81        
 72         82        
 72         77        
 72         97        
 72         80        
 72         75        
 72         87        
 72         88        
 73         79        
 73         74        
 73         75        
 73         76        
 74         80        
 74         85        
 74         79        
 74         81        
 74         88        
 74         75        
 74         76        
 74         82        
 75         79        
 75         76        
 75         97        
 75         80        
 76         80        
 76         79        
 76         81        
 76         95        
 77         80        
 77         79        
 77         78        
 78         79        
 79         80        
 79         94        
 79         95        
 79         86        
 79         98        
 79         91        
 79         87        
 79         88        
 79         81        
 80         84        
 80         95        
 80         81        
 80         96        
 80         82        
 80         91        
 80         97        
 80         87        
 80         88        
 80         94        
 80         98        
 80         89        
 80         93        
 81         88        
 81         95        
 81         92        
 81         82        
 81         97        
 82         97        
 82         87        
 82         95        
 82         83        
 83         84        
 83         86        
 83         88        
 83         93        
 83         85        
 84         93        
 84         85        
 84         88        
 84         86        
 84         90        
 85         86        
 86         88        
 86         93        
 86         87        
 87         88        
 87         95        
 87         96        
 87         92        
 87         91        
 87         94        
 88         95        
 88         94        
 88         91        
 88         98        
 88         90        
 88         89        
 88         93        
 88         92        
 88         96        
 89         91        
 90         92        
 90         91        
 90         93        
 91         95        
 91         94        
 91         92        
 91         98        
 92         93        
 92         95        
 92         94        
 93         99        
 93         94        
 93         98        
 94         96        
 94         95        
 95         96        
 95         97        
 96         97        
 97         98        
 98         99        
