 # i        kappa            theta           
 0          11.9756957       0.01648590967   
 1          0.9552342771     0.05526651341   
 2          115.5430922      0.06269779316   
 3          0.9293060858     0.07060207972   
 4          4.271870853      0.08055910229   
 5          3.49488538       0.1040452377    
 6          0.7883209547     0.1217750204    
 7          38.66418607      0.1315529693    
 8          0.878947602      0.1379078819    
 9          2.088784626      0.1491385988    
 10         10.33945687      0.1587128458    
 11         5.569169994      0.1753814306    
 12         8.960054882      0.1983094255    
 13         12.09790443      0.2369138522    
 14         9.572966872      0.2548355281    
 15         17.99057504      0.2930722233    
 16         14.07127866      0.3109509176    
 17         32.71641185      0.4075412623    
 18         3.005460003      0.4269884179    
 19         4.202213629      0.4324370982    
 20         3.7652504        0.4442016158    
 21         12.43563191      0.4634405071    
 22         4.720942191      0.4912560779    
 23         4.375278765      0.4996017828    
 24         6.536945788      0.5127014833    
 25         20.68338347      0.5309851888    
 26         5.785484469      0.552420351     
 27         5.432218916      0.5626869993    
 28         1.336374456      0.5729335988    
 29         3.842436958      0.5773088429    
 30         4.566884503      0.582829079     
 31         37.46468957      0.6153301924    
 32         18.35310697      0.6177858244    
 33         0.5565894546     0.6430753494    
 34         134.5350124      0.6499009991    
 35         5.659599966      0.6548476855    
 36         0.760817395      0.6652544395    
 37         13.1520129       0.6742930504    
 38         7.623770421      0.6817557181    
 39         7.111824151      0.6920640186    
 40         1.296642107      0.703291738     
 41         1.873986313      0.7082472395    
 42         11.60177729      0.7138563558    
 43         3.049704817      0.7185637868    
 44         13.24056251      0.735703642     
 45         4.722818561      0.7424058194    
 46         2.111558994      0.753672032     
 47         7.224484157      0.7603890388    
 48         6.219907614      0.7720711568    
 49         5.897423671      0.7927556757    
 50         12.74381541      0.8062127984    
 51         1.474857348      0.8167784789    
 52         2.055638229      0.8233676691    
 53         13.01240377      0.825799521     
 54         9.195138131      0.8372208473    
 55         4.947094676      0.8538657505    
 56         3.686147512      0.8979035449    
 57         18.97982089      0.9021554748    
 58         27.35691172      0.9155162368    
 59         6.905782329      0.9237780118    
 60         3.316709574      0.9449388964    
 61         6.054660675      0.9519372923    
 62         18.5302141       0.973152304     
 63         7.345318827      0.9886215806    
 64         1.668166871      1.001319458     
 65         42.70287815      1.005283886     
 66         15.52322766      1.021251348     
 67         7.104583467      1.024700468     
 68         2.033723541      1.04598717      
 69         12.88060367      1.054606951     
 70         11.23227429      1.064884339     
 71         9.050456937      1.087067134     
 72         7.781103556      1.097234805     
 73         9.22475166       1.106477954     
 74         3.66533167       1.119804522     
 75         3.079340235      1.124526256     
 76         7.406780621      1.138982322     
 77         23.74324316      1.1457          
 78         12.36838136      1.153495717     
 79         5.843796056      1.186148106     
 80         7.560455478      1.194546861     
 81         3.762256153      1.199349041     
 82         5.240631366      1.205851868     
 83         2.253825227      1.211284497     
 84         5.982792011      1.234311447     
 85         43.63906628      1.279482777     
 86         4.159770968      1.506585233     
 87         11.02090977      1.947284048     
 88         23.91682911      1.979046162     
 89         2.77417552       1.988781571     
 90         6.70795281       1.999752291     
 91         5.088571192      2.000471077     
 92         4.410277447      2.011937876     
 93         6.884147185      2.020203628     
 94         5.513247228      2.042287683     
 95         1.932089984      2.048754476     
 96         3.786106445      2.053711809     
 97         2.073574729      2.054753027     
 98         4.494623432      2.062821163     
 99         9.259179705      2.078098893     
 100        13.87106032      2.083919341     
 101        32.36742406      2.104138973     
 102        17.09958784      2.118075093     
 103        2.73618412       2.147026104     
 104        6.458282423      2.162004109     
 105        3.211723647      2.16308223      
 106        1.085999131      2.176458114     
 107        0.7117082531     2.181701368     
 108        72.67204866      2.185789999     
 109        0.7644723128     2.194797921     
 110        1.286448474      2.200085339     
 111        15.23237698      2.208492884     
 112        11.05633833      2.214450527     
 113        20.94978857      2.225980446     
 114        7.689713946      2.236404914     
 115        3.970140312      2.245651787     
 116        38.50715135      2.252831691     
 117        1.672545326      2.267518909     
 118        4.808092469      2.280804459     
 119        1.406070561      2.291763528     
 120        7.210041371      2.297304352     
 121        17.01207495      2.306224255     
 122        2.129187414      2.312982663     
 123        9.442701658      2.331047766     
 124        4.402991967      2.337361493     
 125        5.61030769       2.345548163     
 126        3.701721364      2.37726094      
 127        10.78565261      2.405934426     
 128        6.11296506       2.416752426     
 129        11.93742229      2.438827152     
 130        10.31402592      2.457377595     
 131        4.981876953      2.465693498     
 132        6.324065141      2.48134208      
 133        7.126075442      2.504884311     
 134        6.882023971      2.51086605      
 135        5.651421114      2.514365273     
 136        2.587773812      2.526263427     
 137        13.53037103      2.530279825     
 138        2.192799416      2.538843555     
 139        15.06968415      2.545570625     
 140        22.83511863      2.57344788      
 141        18.81638335      2.60199168      
 142        6.110422049      2.645734896     
 143        3.882678717      2.662424972     
 144        9.088217954      2.670643515     
 145        1.022903705      2.731729664     
 146        25.6949529       2.737550084     
 147        1.99984098       2.758738964     
 148        1.925252352      2.772522009     
 149        1.683857114      2.778253951     
 150        107.4921691      2.822961821     
 151        165.2090125      2.890929999     
 152        0.3422461496     2.893149421     
 153        0.519200929      2.898602667     
 154        0.81266752       2.906918505     
 155        1.283772432      2.913611455     
 156        2.33390581       2.926406409     
 157        12.02931753      2.945510112     
 158        25.44665163      2.979414711     
 159        6.040020559      3.010017632     
 160        1.513635478      3.017966836     
 161        1.106017695      3.025822559     
 162        17.52895038      3.026310093     
 163        5.33805286       3.047606705     
 164        18.96037696      3.05617168      
 165        6.927861205      3.060801341     
 166        6.990897896      3.078266388     
 167        4.794625176      3.087778128     
 168        6.776329894      3.098691467     
 169        7.139067909      3.101386446     
 170        20.91355063      3.128307152     
 171        3.306255932      3.159002356     
 172        16.64202564      3.182315106     
 173        9.281644858      3.213197647     
 174        4.315519402      3.249079794     
 175        29.83373588      3.265419608     
 176        32.66435378      3.280612854     
 177        6.068528174      3.294217138     
 178        7.370271997      3.312004108     
 179        1.767418662      3.319012089     
 180        2.627965766      3.324041031     
 181        8.611492577      3.340513601     
 182        2.907401526      3.35245336      
 183        5.462297529      3.361332216     
 184        3.888174319      3.375982641     
 185        22.00447642      3.398377312     
 186        4.848706129      3.401955572     
 187        16.93971215      3.416736215     
 188        3.488631154      3.437614715     
 189        3.261429472      3.446492979     
 190        5.82130336       3.461759318     
 191        10.32589749      3.466272978     
 192        72.20211472      3.514296191     
 193        23.9342379       3.518680259     
 194        32.42525171      3.531132337     
 195        0.7840611774     3.564023216     
 196        7.448369655      3.573116404     
 197        2.089862884      3.580074958     
 198        103.4445369      3.586690022     
 199        2.944694578      3.589870591     
 200        5.16655545       3.595570559     
 201        13.11370388      3.616798378     
 202        8.781548978      3.637304103     
 203        2.076750514      3.657384204     
 204        3.749377489      3.662299579     
