 # i        kappa            theta           
 0          118.4521667      0.06996211564   
 1          23.78882514      0.2587034315    
 2          35.46173416      0.4056436561    
 3          40.98360503      0.6000066652    
 4          135.0921391      0.6498237697    
 5          17.53932047      0.7308659024    
 6          19.3600869       0.8173045263    
 7          34.94414138      0.9267178562    
 8          45.69026763      1.011697551     
 9          27.35411972      1.142757181     
 10         44.61305021      1.305497775     
 11         25.21951478      1.983555385     
 12         36.61460343      2.103353808     
 13         73.27817383      2.186154595     
 14         42.42935549      2.247053783     
 15         21.28257715      2.329720631     
 16         18.00419627      2.462640868     
 17         31.54945645      2.573471483     
 18         185.6086036      2.873146688     
 19         27.13552573      2.975698042     
 20         25.13256837      3.045587262     
 21         37.12175652      3.217134563     
 22         33.73079441      3.284363233     
 23         27.38693647      3.41110963      
 24         120.6396242      3.564217722     
 25         16.57128355      3.633365983     
 26         77.16294211      3.716144838     
 27         12.9690183       3.835595048     
 28         29.21474589      3.919994026     
 29         48.28026974      4.107789288     
 30         116.2357478      4.335684        
 31         16.42326355      4.413241003     
 32         75.09081587      4.442527437     
 33         41.08079836      4.564004227     
 34         20.28418839      4.656208345     
 35         22.82929427      4.741173671     
 36         72.94459728      4.827136177     
 37         20.05809808      4.922939152     
 38         17.12651841      5.009104861     
 39         79.58678223      5.114989577     
 40         81.07585522      5.158996191     
 41         21.74837387      5.364386854     
 42         17.35198712      5.415262567     
 43         32.23367198      5.557946777     
 44         59.08345338      5.626156697     
 45         22.95827383      5.699071996     
 46         27.68322562      5.844814049     
 47         64.22335445      5.949923352     
 48         48.63193082      6.129506631     
 49         19.99677724      6.207549382     
