 # i        kappa            theta           
 0          119.233387       0.08085301807   
 1          50.39874475      0.53361498      
 2          135.3869233      0.6503156014    
 3          37.81867255      0.9082841711    
 4          50.21142564      1.041824421     
 5          48.46405207      1.473409802     
 6          77.9770016       2.174350369     
 7          45.17568193      2.259537214     
 8          34.33501108      2.552590211     
 9          186.1560537      2.873933034     
 10         42.0230868       3.172134852     
 11         40.46398867      3.332197288     
 12         120.9433783      3.564665148     
 13         77.4871008       3.717442928     
 14         53.17992522      4.067994349     
 15         116.550142       4.336222291     
 16         81.08368622      4.464451122     
 17         28.38612634      4.705318436     
 18         74.00786882      4.830649391     
 19         80.21187843      5.112936049     
 20         82.18622116      5.166188738     
 21         34.70828993      5.533880202     
 22         61.12721312      5.632253586     
 23         67.09351319      5.938996753     
 24         50.5667874       6.136944501     
