 # i        j         
 0          49        
 0          18        
 0          22        
 0          1         
 0          48        
 0          24        
 0          30        
 0          23        
 0          36        
 0          40        
 0          32        
 0          9         
 0          10        
 0          47        
 0          46        
 0          25        
 0          42        
 0          44        
 0          7         
 0          33        
 0          8         
 0          2         
 0          5         
 0          27        
 0          21        
 0          4         
 0          34        
 0          29        
 0          26        
 0          3         
 0          45        
 0          41        
 0          43        
 1          18        
 1          2         
 1          4         
 1          48        
 1          3         
 1          24        
 1          26        
 2          18        
 2          48        
 2          3         
 2          24        
 2          40        
 2          7         
 2          4         
 2          39        
 2          44        
 2          47        
 2          38        
 2          9         
 2          8         
 2          49        
 2          5         
 2          36        
 3          4         
 3          24        
 3          8         
 3          9         
 3          39        
 3          7         
 3          6         
 3          10        
 3          5         
 3          49        
 3          45        
 3          44        
 4          9         
 4          7         
 4          48        
 4          6         
 4          8         
 4          24        
 4          30        
 4          18        
 4          36        
 4          40        
 4          32        
 4          47        
 4          10        
 4          5         
 4          39        
 4          49        
 4          34        
 4          31        
 4          43        
 4          26        
 4          44        
 4          38        
 5          6         
 5          7         
 5          9         
 6          9         
 6          10        
 6          7         
 6          8         
 6          48        
 7          9         
 7          10        
 7          8         
 7          18        
 7          47        
 7          12        
 7          38        
 8          40        
 8          9         
 8          10        
 8          47        
 8          48        
 8          24        
 8          41        
 8          18        
 9          10        
 9          18        
 9          13        
 10         24        
 10         18        
 10         22        
 10         32        
 10         30        
 10         21        
 10         26        
 10         11        
 10         13        
 10         17        
 10         12        
 10         16        
 11         13        
 11         12        
 11         17        
 11         18        
 11         16        
 11         14        
 12         13        
 12         14        
 12         15        
 12         18        
 12         17        
 12         16        
 13         14        
 13         17        
 13         16        
 13         24        
 13         18        
 13         22        
 13         15        
 13         20        
 13         32        
 13         26        
 13         41        
 14         15        
 14         24        
 14         30        
 14         18        
 14         22        
 14         32        
 14         17        
 14         25        
 14         21        
 14         28        
 14         48        
 14         29        
 14         26        
 15         20        
 15         21        
 15         19        
 15         18        
 15         16        
 16         18        
 16         17        
 16         41        
 17         18        
 17         22        
 17         19        
 17         24        
 17         30        
 17         32        
 17         21        
 17         26        
 17         20        
 18         30        
 18         32        
 18         24        
 18         21        
 18         33        
 18         22        
 18         36        
 18         40        
 18         34        
 18         39        
 18         46        
 18         42        
 18         47        
 18         20        
 18         29        
 18         49        
 18         26        
 18         28        
 18         31        
 18         48        
 18         23        
 18         19        
 18         35        
 18         44        
 18         37        
 18         25        
 18         27        
 18         43        
 18         38        
 19         24        
 19         30        
 19         23        
 19         28        
 19         20        
 19         26        
 20         21        
 20         24        
 20         22        
 21         24        
 21         26        
 21         40        
 21         39        
 21         29        
 21         31        
 21         22        
 21         47        
 21         30        
 21         48        
 21         28        
 21         25        
 21         32        
 21         23        
 21         37        
 21         36        
 22         23        
 22         24        
 22         30        
 22         36        
 22         32        
 22         29        
 22         26        
 22         25        
 22         48        
 22         40        
 22         47        
 23         24        
 23         36        
 23         29        
 23         30        
 23         43        
 23         26        
 23         33        
 23         27        
 23         41        
 23         32        
 23         25        
 24         26        
 24         25        
 24         40        
 24         30        
 24         28        
 24         39        
 24         36        
 24         47        
 24         33        
 24         27        
 24         32        
 24         29        
 24         31        
 24         48        
 24         43        
 24         38        
 24         41        
 24         34        
 24         37        
 25         26        
 25         29        
 25         30        
 25         27        
 25         28        
 25         41        
 26         30        
 26         29        
 26         40        
 26         41        
 26         48        
 26         39        
 26         33        
 26         47        
 26         27        
 26         35        
 26         36        
 26         32        
 26         28        
 26         49        
 26         34        
 26         31        
 27         33        
 27         30        
 27         29        
 28         30        
 28         39        
 28         36        
 28         37        
 28         29        
 28         40        
 28         34        
 28         38        
 29         32        
 29         39        
 29         36        
 29         30        
 29         43        
 29         33        
 29         48        
 29         37        
 29         35        
 29         49        
 30         36        
 30         33        
 30         41        
 30         32        
 30         34        
 30         40        
 30         39        
 30         47        
 30         48        
 30         35        
 30         31        
 30         43        
 30         38        
 30         44        
 30         37        
 31         36        
 31         32        
 31         39        
 31         34        
 31         49        
 31         40        
 31         33        
 32         36        
 32         40        
 32         34        
 32         39        
 32         42        
 32         47        
 32         35        
 32         37        
 32         45        
 32         48        
 32         43        
 32         44        
 32         33        
 33         35        
 33         38        
 33         34        
 33         36        
 33         40        
 33         39        
 33         37        
 33         41        
 33         48        
 33         44        
 34         39        
 34         40        
 34         38        
 34         35        
 34         37        
 34         44        
 34         47        
 34         41        
 34         43        
 34         36        
 34         48        
 35         36        
 35         44        
 35         40        
 35         37        
 35         39        
 35         38        
 35         41        
 35         47        
 36         37        
 36         39        
 36         42        
 36         47        
 36         49        
 36         38        
 36         40        
 36         41        
 36         48        
 36         43        
 36         44        
 37         40        
 37         42        
 37         39        
 37         44        
 37         38        
 37         41        
 37         48        
 38         40        
 38         39        
 38         47        
 39         40        
 39         47        
 39         43        
 39         49        
 39         45        
 39         44        
 40         42        
 40         47        
 40         48        
 40         41        
 40         45        
 40         43        
 40         44        
 40         49        
 40         46        
 41         48        
 41         43        
 41         47        
 41         42        
 41         44        
 41         46        
 42         46        
 42         44        
 42         43        
 42         45        
 43         44        
 43         46        
 43         47        
 43         48        
 43         45        
 44         47        
 44         45        
 44         49        
 44         46        
 44         48        
 45         46        
 45         47        
 45         49        
 46         47        
 46         49        
 47         48        
 48         49        
