 # i        kappa            theta           
 0          11.98327425      0.0166993283    
 1          115.543306       0.06269783407   
 2          5.139131103      0.09048612863   
 3          38.66494829      0.1315525068    
 4          2.176760618      0.1480782083    
 5          11.13434381      0.1617656694    
 6          14.0613162       0.2257364006    
 7          19.33370219      0.2872124542    
 8          34.17062159      0.3990595332    
 9          4.831893152      0.4308195575    
 10         12.66650759      0.4625878728    
 11         5.979617992      0.4950535828    
 12         21.11095376      0.5300813216    
 13         7.371657845      0.557179536     
 14         3.943330031      0.5770312516    
 15         37.53434501      0.615183166     
 16         18.35410013      0.6177894155    
 17         134.5517463      0.6499025729    
 18         13.15569033      0.6742866921    
 19         9.685027807      0.6864850753    
 20         2.134189337      0.7068573459    
 21         11.75276431      0.7140093975    
 22         13.61082081      0.7361606414    
 23         7.347242772      0.7601091084    
 24         7.961105206      0.7818194059    
 25         12.76458191      0.8062569024    
 26         13.05912036      0.8257775057    
 27         9.900093114      0.8401080395    
 28         19.09482081      0.9020908799    
 29         27.67840494      0.9157597596    
 30         6.539385541      0.9506981826    
 31         19.2036305       0.974509941     
 32         42.70727772      1.00528285      
 33         16.32689955      1.021667854     
 34         12.92678407      1.054529334     
 35         13.43659748      1.073086011     
 36         11.22859843      1.102855557     
 37         4.454519265      1.121654428     
 38         24.21829555      1.145371335     
 39         13.06053052      1.157798894     
 40         8.040459218      1.195244621     
 41         5.473530594      1.206422404     
 42         43.74840677      1.279203904     
 43         11.37562187      1.918550474     
 44         23.95602642      1.979086778     
 45         7.857464494      1.999990404     
 46         7.683243489      2.018194102     
 47         5.660778766      2.042708715     
 48         4.089063093      2.053897006     
 49         9.812615964      2.076012019     
 50         33.793409        2.102053019     
 51         17.163008        2.118349244     
 52         6.867671042      2.16216018      
 53         1.218930485      2.177794333     
 54         72.67231485      2.185790084     
 55         15.24352338      2.208477303     
 56         22.48316424      2.224090748     
 57         8.223486082      2.237859782     
 58         38.51234672      2.252836755     
 59         4.889904146      2.281266426     
 60         17.74135363      2.305323482     
 61         9.526161373      2.330650281     
 62         6.64827194       2.342682769     
 63         11.05963606      2.404177441     
 64         12.74980324      2.435443781     
 65         10.92310637      2.45850927      
 66         8.856117539      2.494928745     
 67         8.29086175       2.512187164     
 68         13.6092286       2.530220969     
 69         15.11360394      2.545521117     
 70         27.5455207       2.584333181     
 71         6.806220067      2.649753308     
 72         9.102016047      2.670882914     
 73         25.71022962      2.737582282     
 74         2.378054596      2.774906603     
 75         185.093941       2.874100567     
 76         0.5836231412     2.89720098      
 77         1.428670091      2.912019764     
 78         12.10201795      2.945221014     
 79         25.70268399      2.980190047     
 80         1.751847503      3.02040909      
 81         17.85912012      3.027302344     
 82         19.5233275       3.056504051     
 83         7.941987287      3.080906168     
 84         9.142234993      3.100128633     
 85         20.98877383      3.128588272     
 86         18.03297375      3.188052861     
 87         29.91938906      3.265301353     
 88         32.84123469      3.280799023     
 89         7.446369964      3.312185112     
 90         8.774554316      3.339748943     
 91         5.87038768       3.359848048     
 92         22.10941936      3.398109302     
 93         17.2128334       3.416148894     
 94         4.436251041      3.441678994     
 95         11.21144848      3.465421392     
 96         73.88383963      3.514545778     
 97         32.42623808      3.5311349       
 98         7.562588926      3.573380977     
 99         103.4493022      3.586690394     
 100        13.58311948      3.614989518     
 101        8.869089826      3.637806437     
 102        4.513799794      3.665158028     
 103        7.989574607      3.689986169     
 104        76.30914936      3.714645269     
 105        6.97922963       3.726622506     
 106        9.820270509      3.762798446     
 107        16.70307962      3.773548025     
 108        7.59308887       3.810655862     
 109        8.257242031      3.828741345     
 110        8.824083065      3.853371464     
 111        4.024910338      3.871228345     
 112        25.28150597      3.899948824     
 113        16.87028873      3.954381745     
 114        6.100152294      3.989512583     
 115        8.374610084      4.012920577     
 116        22.24043013      4.071337516     
 117        45.25126796      4.112753668     
 118        7.030482543      4.162643696     
 119        6.115810972      4.186131903     
 120        9.373250862      4.207780189     
 121        11.11419844      4.24149458      
 122        51.16845427      4.27442495      
 123        110.1273256      4.344802848     
 124        0.904266219      4.35539027      
 125        2.346717023      4.36242246      
 126        14.8353149       4.407092892     
 127        9.058266388      4.436469936     
 128        74.90045744      4.442230128     
 129        4.935322393      4.473021423     
 130        8.85456754       4.486054634     
 131        5.153708255      4.50941227      
 132        7.870059599      4.526355388     
 133        5.611535745      4.55604537      
 134        40.65738917      4.564490277     
 135        5.004043219      4.592683501     
 136        10.647356        4.613336946     
 137        6.717334108      4.651855562     
 138        16.74324432      4.664195289     
 139        9.144566293      4.683508568     
 140        19.50992226      4.728948611     
 141        6.450363448      4.742923327     
 142        13.14634838      4.764517691     
 143        6.658953015      4.794747021     
 144        70.5977536       4.824167191     
 145        16.28736274      4.843176113     
 146        18.67969098      4.858003782     
 147        17.48742198      4.879823853     
 148        17.23003655      4.909817014     
 149        10.07891723      4.940763643     
 150        7.935372853      4.951539263     
 151        6.287195357      4.98119339      
 152        16.03068165      5.002768332     
 153        6.922705499      5.033357169     
 154        4.606156742      5.055427403     
 155        3.640809382      5.073441638     
 156        2.972418286      5.088818292     
 157        1.987737133      5.096954282     
 158        79.54389662      5.11496319      
 159        5.370092378      5.147106374     
 160        77.18457633      5.155869339     
 161        32.50852987      5.172208598     
 162        14.2723286       5.218013263     
 163        11.95303168      5.254559633     
 164        13.75196219      5.325294673     
 165        8.350005369      5.349678963     
 166        4.324027035      5.374383627     
 167        17.60599457      5.386970276     
 168        7.142636422      5.394250042     
 169        15.5716138       5.411665703     
 170        6.582139227      5.443426602     
 171        5.389330176      5.46420121      
 172        12.98859671      5.487317814     
 173        8.081631053      5.517343649     
 174        16.79117756      5.545038546     
 175        27.71252393      5.573452046     
 176        6.772982441      5.600314089     
 177        58.94706222      5.626241875     
 178        2.590152318      5.629832091     
 179        4.533439768      5.638698639     
 180        5.589972082      5.658034466     
 181        4.31380185       5.671694336     
 182        22.3404455       5.700370401     
 183        5.406885204      5.710901937     
